Cluster-1	total=31	enrichmentScore=7.888470376061848	phaseStdDev=4.846752261410203	"rhabdomere,Vision,visual perception,Phototransduction - fly,phototransduction,deactivation of rhodopsin mediated signaling,inaD signaling complex,Sensory transductionAnnotation Cluster 1"	Enrichment Score: 7.888470376061848								
													
Cluster-14	total=13	enrichmentScore=1.3319977058760681	phaseStdDev=6.211548953419936	"Lipid metabolism,Lipid biosynthesis,fatty acid elongase activity,3-oxo-arachidoyl-CoA synthase activity,3-oxo-cerotoyl-CoA synthase activity,3-oxo-lignoceronyl-CoA synthase activity,fatty acid elongation,GNS1/SUR4 membrane protein,Fatty acid metabolism,Fatty acid biosynthesisAnnotation Cluster 14"	Enrichment Score: 1.3319977058760681								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_KEYWORDS	Lipid metabolism	12	2.044293015	0.008549397	9.576867	6.211548953	"FBtr0070651, FBtr0100670, FBtr0300956, FBtr0110850, FBtr0300598, FBtr0085345, FBtr0084264, FBtr0080095, FBtr0080590, FBtr0084285, FBtr0075355, FBtr0078942, FBtr0076688"	587	114	13921	2.49636869	0.846150643	0.105068353
UP_KEYWORDS	Lipid biosynthesis	9	1.533219761	0.00893081	5.501509	3.616422865	"FBtr0085345, FBtr0084264, FBtr0300956, FBtr0110850, FBtr0084285, FBtr0075355, FBtr0078942, FBtr0300598, FBtr0076688"	587	70	13921	3.049136043	0.858529274	0.105068353
GOTERM_MF_DIRECT	GO:0009922~fatty acid elongase activity	4	0.681431005	0.053219866	6.7879365	1.980708474	"FBtr0084264, FBtr0084285, FBtr0075355, FBtr0078942"	425	19	9284	4.598885449	1	1
GOTERM_MF_DIRECT	GO:0102336~3-oxo-arachidoyl-CoA synthase activity	4	0.681431005	0.060563467	6.7879365	1.980708474	"FBtr0084264, FBtr0084285, FBtr0075355, FBtr0078942"	425	20	9284	4.368941176	1	1
GOTERM_MF_DIRECT	GO:0102337~3-oxo-cerotoyl-CoA synthase activity	4	0.681431005	0.060563467	6.7879365	1.980708474	"FBtr0084264, FBtr0084285, FBtr0075355, FBtr0078942"	425	20	9284	4.368941176	1	1
GOTERM_MF_DIRECT	GO:0102338~3-oxo-lignoceronyl-CoA synthase activity	4	0.681431005	0.060563467	6.7879365	1.980708474	"FBtr0084264, FBtr0084285, FBtr0075355, FBtr0078942"	425	20	9284	4.368941176	1	1
GOTERM_BP_DIRECT	GO:0030497~fatty acid elongation	4	0.681431005	0.062765044	6.7879365	1.980708474	"FBtr0084264, FBtr0084285, FBtr0075355, FBtr0078942"	463	22	10996	4.318083644	1	0.985803017
INTERPRO	IPR002076:GNS1/SUR4 membrane protein	4	0.681431005	0.070127788	6.7879365	1.980708474	"FBtr0084264, FBtr0084285, FBtr0075355, FBtr0078942"	534	20	10984	4.113857678	1	1
UP_KEYWORDS	Fatty acid metabolism	5	0.851788756	0.080172215	5.9277766	2.469426059	"FBtr0084264, FBtr0080590, FBtr0084285, FBtr0075355, FBtr0078942"	587	39	13921	3.040449046	0.999999988	0.391083976
UP_KEYWORDS	Fatty acid biosynthesis	4	0.681431005	0.150265319	6.7879365	1.980708474	"FBtr0084264, FBtr0084285, FBtr0075355, FBtr0078942"	587	32	13921	2.964437819	1	0.589275763
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0110850	LPCAT-RB	0.338262	0.011589	10.7	FlyBase LPCAT-RB	Figure for LPCAT-RB							
FBtr0100670	norpA-RC	0.784421	0.005379	19.6	FlyBase norpA-RC	Figure for norpA-RC							
FBtr0080095	CG18302-RA	0.84283	0.031588	14.8	FlyBase CG18302-RA	Figure for CG18302-RA							
FBtr0076688	CdsA-RA	3.121981	0.008018	22.3	FlyBase CdsA-RA	Figure for CdsA-RA							
FBtr0300598	ATPCL-RF	1.340352	0.028494	6.1	FlyBase ATPCL-RF	Figure for ATPCL-RF							
FBtr0084264	CG33110-RA	1.635112	0.02037	7	FlyBase CG33110-RA	Figure for CG33110-RA							
FBtr0300956	CG30427-RE	1.475802	0.028494	5.8	FlyBase CG30427-RE	Figure for CG30427-RE							
FBtr0075355	Baldspot-RA	1.968175	0.015683	3.6	FlyBase Baldspot-RA	Figure for Baldspot-RA							
FBtr0070651	norpA-RA	1.235111	0.016774	14.1	FlyBase norpA-RA	Figure for norpA-RA							
FBtr0085345	wat-RA	1.233527	0.026614	1.5	FlyBase wat-RA	Figure for wat-RA							
FBtr0084285	CG5326-RA	1.32843	0.030408	8.8	FlyBase CG5326-RA	Figure for CG5326-RA							
FBtr0078942	CG31522-RA	0.649133	0.053453	7.8	FlyBase CG31522-RA	Figure for CG31522-RA							
FBtr0080590	bgm-RA	1.642972	0.016774	2.5	FlyBase bgm-RA	Figure for bgm-RA							
													
Cluster-15	total=15	enrichmentScore=1.2580931391189965	phaseStdDev=2.9335281206134405	"UDP-glucose metabolic process,intracellular membrane-bounded organelle,flavonoid biosynthetic process,flavonoid glucuronidation,UDP-glycosyltransferase activity,UDP-glucuronosyl/UDP-glucosyltransferase,transferase activity, transferring hexosyl groups,Ascorbate and aldarate metabolism,glucuronosyltransferase activity,Drug metabolism - cytochrome P450,Porphyrin and chlorophyll metabolism,Pentose and glucuronate interconversions,Retinol metabolism,Metabolism of xenobiotics by cytochrome P450,Drug metabolism - other enzymes,GlycosyltransferaseAnnotation Cluster 15"	Enrichment Score: 1.2580931391189965								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_BP_DIRECT	GO:0006011~UDP-glucose metabolic process	5	0.851788756	5.28E-04	1.3223656	1.347712286	"FBtr0082375, FBtr0082374, FBtr0300818, FBtr0082338, FBtr0071625"	463	10	10996	11.87473002	0.448669571	0.041878048
GOTERM_CC_DIRECT	GO:0043231~intracellular membrane-bounded organelle	11	1.873935264	7.08E-04	0.688737545	2.14835149	"FBtr0082375, FBtr0082374, FBtr0086148, FBtr0078571, FBtr0345919, FBtr0300818, FBtr0072150, FBtr0082338, FBtr0071624, FBtr0071625, FBtr0085405"	455	66	10026	3.672527473	0.174123651	0.026713232
GOTERM_BP_DIRECT	GO:0009813~flavonoid biosynthetic process	6	1.022146508	0.013024586	1.3728625	1.235458089	"FBtr0082375, FBtr0082374, FBtr0300818, FBtr0082338, FBtr0071624, FBtr0071625"	463	34	10996	4.191081184	0.999999622	0.425597493
GOTERM_BP_DIRECT	GO:0052696~flavonoid glucuronidation	6	1.022146508	0.013024586	1.3728625	1.235458089	"FBtr0082375, FBtr0082374, FBtr0300818, FBtr0082338, FBtr0071624, FBtr0071625"	463	34	10996	4.191081184	0.999999622	0.425597493
GOTERM_MF_DIRECT	GO:0008194~UDP-glycosyltransferase activity	6	1.022146508	0.02275667	1.3728625	1.235458089	"FBtr0082375, FBtr0082374, FBtr0300818, FBtr0082338, FBtr0071624, FBtr0071625"	425	36	9284	3.640784314	0.999970404	1
INTERPRO	IPR002213:UDP-glucuronosyl/UDP-glucosyltransferase	6	1.022146508	0.025712035	1.3728625	1.235458089	"FBtr0082375, FBtr0082374, FBtr0300818, FBtr0082338, FBtr0071624, FBtr0071625"	534	35	10984	3.526163724	1	1
GOTERM_MF_DIRECT	"GO:0016758~transferase activity, transferring hexosyl groups"	6	1.022146508	0.041174889	1.3728625	1.235458089	"FBtr0082375, FBtr0082374, FBtr0300818, FBtr0082338, FBtr0071624, FBtr0071625"	425	42	9284	3.120672269	0.999999995	1
KEGG_PATHWAY	dme00053:Ascorbate and aldarate metabolism	5	0.851788756	0.099418613	3.0398504	2.2184534	"FBtr0082375, FBtr0082374, FBtr0071624, FBtr0071625, FBtr0290130"	164	30	2737	2.781504065	0.999863714	0.805290767
GOTERM_MF_DIRECT	GO:0015020~glucuronosyltransferase activity	4	0.681431005	0.144502264	1.0550445	1.394494758	"FBtr0082375, FBtr0300818, FBtr0071624, FBtr0071625"	425	29	9284	3.01306288	1	1
KEGG_PATHWAY	dme00982:Drug metabolism - cytochrome P450	7	1.192504259	0.152200907	2.000698571	2.071611804	"FBtr0082375, FBtr0082374, FBtr0345919, FBtr0072150, FBtr0071624, FBtr0071625, FBtr0086669"	164	61	2737	1.915133946	0.999999197	0.889571839
KEGG_PATHWAY	dme00860:Porphyrin and chlorophyll metabolism	5	0.851788756	0.238343054	0.778468	2.368523953	"FBtr0082375, FBtr0082374, FBtr0079992, FBtr0071624, FBtr0071625"	164	42	2737	1.986788618	1	0.964285714
KEGG_PATHWAY	dme00040:Pentose and glucuronate interconversions	5	0.851788756	0.251583004	1.3267344	1.298474621	"FBtr0082375, FBtr0082374, FBtr0081822, FBtr0071624, FBtr0071625"	164	43	2737	1.940584231	1	0.964285714
KEGG_PATHWAY	dme00830:Retinol metabolism	4	0.681431005	0.28005303	1.9472095	0.427315665	"FBtr0082375, FBtr0082374, FBtr0071624, FBtr0071625"	164	31	2737	2.153422502	1	0.964285714
KEGG_PATHWAY	dme00980:Metabolism of xenobiotics by cytochrome P450	6	1.022146508	0.296622879	2.7189775	1.181255988	"FBtr0082375, FBtr0082374, FBtr0345919, FBtr0071624, FBtr0071625, FBtr0086669"	164	61	2737	1.641543383	1	0.964285714
KEGG_PATHWAY	dme00983:Drug metabolism - other enzymes	4	0.681431005	0.537755104	1.9472095	0.427315665	"FBtr0082375, FBtr0082374, FBtr0071624, FBtr0071625"	164	47	2737	1.420342501	1	0.964285714
UP_KEYWORDS	Glycosyltransferase	6	1.022146508	0.829488823	1.3728625	1.235458089	"FBtr0082375, FBtr0082374, FBtr0300818, FBtr0082338, FBtr0071624, FBtr0071625"	587	165	13921	0.862381911	1	0.921658986
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0082375	Ugt35b-RA	3.739573	0	1.4	FlyBase Ugt35b-RA	Figure for Ugt35b-RA							
FBtr0082374	Ugt35a-RA	3.189958	0	2.3	FlyBase Ugt35a-RA	Figure for Ugt35a-RA							
FBtr0081822	CG2767-RA	1.441642	0.005379	22.8	FlyBase CG2767-RA	Figure for CG2767-RA							
FBtr0071625	CG4302-RA	1.253952	0.024683	2.4	FlyBase CG4302-RA	Figure for CG4302-RA							
FBtr0071624	CG15661-RA	1.358527	0.03296	1.6	FlyBase CG15661-RA	Figure for CG15661-RA							
FBtr0086148	Fmo-2-RA	1.69632	0.023884	23	FlyBase Fmo-2-RA	Figure for Fmo-2-RA							
FBtr0078571	Arf79F-RA	1.207369	0.028494	0.4	FlyBase Arf79F-RA	Figure for Arf79F-RA							
FBtr0290130	CG6910-RB	0.57497	0.052189	7.4	FlyBase CG6910-RB	Figure for CG6910-RB							
FBtr0085405	Cisd2-RA	1.253636	0.032438	21.5	FlyBase Cisd2-RA	Figure for Cisd2-RA							
FBtr0086669	GstE1-RA	1.498175	0.014377	3.8	FlyBase GstE1-RA	Figure for GstE1-RA							
FBtr0072150	Fmo-1-RA	2.452105	0.011589	21.7	FlyBase Fmo-1-RA	Figure for Fmo-1-RA							
FBtr0079992	CG5037-RA	1.005099	0.038189	20.1	FlyBase CG5037-RA	Figure for CG5037-RA							
FBtr0082338	Ugt86Da-RA	2.922967	0.009609	1.7	FlyBase Ugt86Da-RA	Figure for Ugt86Da-RA							
FBtr0345919	Mgstl-RC	0.84144	0.029055	4.8	FlyBase Mgstl-RC	Figure for Mgstl-RC							
FBtr0300818	CG17324-RB	2.462495	0.008018	22.7	FlyBase CG17324-RB	Figure for CG17324-RB							
													
Cluster-16	total=9	enrichmentScore=1.2114167702550254	phaseStdDev=3.7262570973413345	"NAD,NAD,NAD,NAD bindingAnnotation Cluster 16"	Enrichment Score: 1.2114167702550254								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_SEQ_FEATURE	binding site:NAD	4	0.681431005	0.030515248	2.2738342	3.677216944	"FBtr0303846, FBtr0332618, FBtr0089497, FBtr0100479, FBtr0335205"	171	13	3113	5.601439496	0.999999789	1
UP_KEYWORDS	NAD	7	1.192504259	0.037069639	0.41160475	3.893527224	"FBtr0303846, FBtr0073113, FBtr0332618, FBtr0089497, FBtr0331810, FBtr0077830, FBtr0100479, FBtr0335205"	587	59	13921	2.813703693	0.999734733	0.236261097
UP_SEQ_FEATURE	nucleotide phosphate-binding region:NAD	4	0.681431005	0.053014962	2.2738342	3.677216944	"FBtr0303846, FBtr0332618, FBtr0089497, FBtr0100479, FBtr0335205"	171	16	3113	4.551169591	1	1
GOTERM_MF_DIRECT	GO:0051287~NAD binding	4	0.681431005	0.237902607	3.23899775	3.498950643	"FBtr0303846, FBtr0332618, FBtr0100479, FBtr0343129"	425	37	9284	2.361589825	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0077830	AIF-RA	0.590188	0.040404	19.1	FlyBase AIF-RA	Figure for AIF-RA							
FBtr0089497	Gdh-RF	2.130943	0.008018	22.5	FlyBase Gdh-RF	Figure for Gdh-RF							
FBtr0100479	Gapdh1-RB	1.32592	0.031037	5.8	FlyBase Gapdh1-RB	Figure for Gapdh1-RB							
FBtr0343129	ND-51-RB	2.109682	0.008018	22.4	FlyBase ND-51-RB	Figure for ND-51-RB							
FBtr0303846	CG15093-RE	1.403335	0.032438	1.6	FlyBase CG15093-RE	Figure for CG15093-RE							
FBtr0331810	CG7430-RB	0.752363	0.040178	22.4	FlyBase CG7430-RB	Figure for CG7430-RB							
FBtr0332618	Gapdh2-RC	2.340608	0.005379	7.2	FlyBase Gapdh2-RC	Figure for Gapdh2-RC							
FBtr0073113	ND-30-RA	1.800292	0.008018	22.4	FlyBase ND-30-RA	Figure for ND-30-RA							
FBtr0335205	Gdh-RD	2.14675	0.011589	22.3	FlyBase Gdh-RD	Figure for Gdh-RD							
													
Cluster-17	total=28	enrichmentScore=1.2020827034374784	phaseStdDev=4.482665820356958	"Endoplasmic reticulum,Iron,Microsome,monooxygenase activity,organelle membrane,Monooxygenase,endoplasmic reticulum membrane,Heme,Iron (heme axial ligand),Cytochrome P450, conserved site,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,Cytochrome P450,heme binding,Cytochrome P450, E-class, group I,Heme (covalent; via 1 link),iron ion binding,Secondary metabolites biosynthesis, transport, and catabolismAnnotation Cluster 17"	Enrichment Score: 1.2020827034374784								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_KEYWORDS	Endoplasmic reticulum	16	2.72572402	0.011034518	0.306601625	5.087950792	"FBtr0300456, FBtr0074925, FBtr0345485, FBtr0110850, FBtr0085405, FBtr0085438, FBtr0088746, FBtr0087456, FBtr0079041, FBtr0079250, FBtr0088905, FBtr0087455, FBtr0078694, FBtr0114558, FBtr0088592, FBtr0073217"	587	184	13921	2.062217614	0.910980094	0.122605755
UP_KEYWORDS	Iron	16	2.72572402	0.013857384	0.85968975	4.12233513	"FBtr0300456, FBtr0074925, FBtr0345485, FBtr0085405, FBtr0089944, FBtr0340622, FBtr0088746, FBtr0087456, FBtr0084289, FBtr0088905, FBtr0344849, FBtr0087455, FBtr0114558, FBtr0078225, FBtr0088592, FBtr0076204"	587	189	13921	2.007661592	0.952262405	0.131975084
UP_KEYWORDS	Microsome	9	1.533219761	0.017804733	1.116104444	4.962267051	"FBtr0088746, FBtr0300456, FBtr0087456, FBtr0088905, FBtr0087455, FBtr0074925, FBtr0345485, FBtr0114558, FBtr0088592"	587	79	13921	2.701766114	0.980087377	0.161701052
GOTERM_MF_DIRECT	GO:0004497~monooxygenase activity	10	1.703577513	0.018662648	0.539781	4.841685452	"FBtr0088746, FBtr0300456, FBtr0086148, FBtr0087456, FBtr0087455, FBtr0074925, FBtr0345485, FBtr0072150, FBtr0114558, FBtr0088592"	425	88	9284	2.482352941	0.999803346	1
GOTERM_CC_DIRECT	GO:0031090~organelle membrane	9	1.533219761	0.026075292	1.116104444	4.962267051	"FBtr0088746, FBtr0300456, FBtr0087456, FBtr0088905, FBtr0087455, FBtr0074925, FBtr0345485, FBtr0114558, FBtr0088592"	455	79	10026	2.510335234	0.999202274	0.430242322
UP_KEYWORDS	Monooxygenase	10	1.703577513	0.02946317	0.539781	4.841685452	"FBtr0088746, FBtr0300456, FBtr0086148, FBtr0087456, FBtr0087455, FBtr0074925, FBtr0345485, FBtr0072150, FBtr0114558, FBtr0088592"	587	103	13921	2.302475976	0.998525582	0.218245706
GOTERM_CC_DIRECT	GO:0005789~endoplasmic reticulum membrane	17	2.896081772	0.043158281	0.204593353	4.94164806	"FBtr0300456, FBtr0074925, FBtr0345485, FBtr0110850, FBtr0085405, FBtr0088746, FBtr0087456, FBtr0079041, FBtr0079250, FBtr0088905, FBtr0087455, FBtr0078694, FBtr0086691, FBtr0114558, FBtr0088592, FBtr0073217, FBtr0076688"	455	221	10026	1.69501268	0.999993288	0.598926567
UP_KEYWORDS	Heme	10	1.703577513	0.055900655	0.9193321	4.744487228	"FBtr0088746, FBtr0300456, FBtr0087456, FBtr0344849, FBtr0088905, FBtr0087455, FBtr0074925, FBtr0345485, FBtr0114558, FBtr0088592"	587	116	13921	2.044439875	0.99999642	0.323282391
UP_SEQ_FEATURE	metal ion-binding site:Iron (heme axial ligand)	10	1.703577513	0.076089085	0.9193321	4.744487228	"FBtr0088746, FBtr0300456, FBtr0087456, FBtr0344849, FBtr0088905, FBtr0087455, FBtr0074925, FBtr0345485, FBtr0114558, FBtr0088592"	171	96	3113	1.896320663	1	1
INTERPRO	"IPR017972:Cytochrome P450, conserved site"	8	1.36286201	0.092792705	1.087387375	5.262573899	"FBtr0088746, FBtr0300456, FBtr0087456, FBtr0087455, FBtr0074925, FBtr0345485, FBtr0114558, FBtr0088592"	534	80	10984	2.056928839	1	1
GOTERM_MF_DIRECT	"GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	8	1.36286201	0.121630976	1.087387375	5.262573899	"FBtr0088746, FBtr0300456, FBtr0087456, FBtr0087455, FBtr0074925, FBtr0345485, FBtr0114558, FBtr0088592"	425	91	9284	1.920413704	1	1
INTERPRO	IPR001128:Cytochrome P450	8	1.36286201	0.134717055	1.087387375	5.262573899	"FBtr0088746, FBtr0300456, FBtr0087456, FBtr0087455, FBtr0074925, FBtr0345485, FBtr0114558, FBtr0088592"	534	88	10984	1.869935308	1	1
GOTERM_MF_DIRECT	GO:0020037~heme binding	10	1.703577513	0.149349237	0.9193321	4.744487228	"FBtr0088746, FBtr0300456, FBtr0087456, FBtr0344849, FBtr0088905, FBtr0087455, FBtr0074925, FBtr0345485, FBtr0114558, FBtr0088592"	425	132	9284	1.654901961	1	1
INTERPRO	"IPR002401:Cytochrome P450, E-class, group I"	7	1.192504259	0.169852433	1.129491714	5.62466757	"FBtr0088746, FBtr0300456, FBtr0087456, FBtr0087455, FBtr0074925, FBtr0345485, FBtr0088592"	534	77	10984	1.869935308	1	1
UP_SEQ_FEATURE	binding site:Heme (covalent; via 1 link)	3	0.511073254	0.216333068	-2.482454	5.281671165	"FBtr0088746, FBtr0300456, FBtr0088592"	171	16	3113	3.413377193	1	1
GOTERM_MF_DIRECT	GO:0005506~iron ion binding	10	1.703577513	0.235072429	1.2776848	5.298234328	"FBtr0088746, FBtr0300456, FBtr0087456, FBtr0087455, FBtr0074925, FBtr0345485, FBtr0114558, FBtr0088592, FBtr0345074, FBtr0290130"	425	148	9284	1.475993641	1	1
COG_ONTOLOGY	"Secondary metabolites biosynthesis, transport, and catabolism"	8	1.36286201	0.261071014	1.087387375	5.262573899	"FBtr0088746, FBtr0300456, FBtr0087456, FBtr0087455, FBtr0074925, FBtr0345485, FBtr0114558, FBtr0088592"	72	91	1239	1.512820513	0.999616584	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0300456	Cyp4ac2-RB	0.652239	0.044367	15.7	FlyBase Cyp4ac2-RB	Figure for Cyp4ac2-RB							
FBtr0072150	Fmo-1-RA	2.452105	0.011589	21.7	FlyBase Fmo-1-RA	Figure for Fmo-1-RA							
FBtr0340622	ND-24-RB	0.803119	0.034063	22.8	FlyBase ND-24-RB	Figure for ND-24-RB							
FBtr0089944	CG9272-RA	2.036115	0	4.2	FlyBase CG9272-RA	Figure for CG9272-RA							
FBtr0085405	Cisd2-RA	1.253636	0.032438	21.5	FlyBase Cisd2-RA	Figure for Cisd2-RA							
FBtr0079041	Rtnl1-RD	0.45235	0.011589	1.2	FlyBase Rtnl1-RD	Figure for Rtnl1-RD							
FBtr0345074	CG9674-RI	1.504504	0.023884	20.7	FlyBase CG9674-RI	Figure for CG9674-RI							
FBtr0073217	Ero1L-RB	1.174727	0.03296	21.7	FlyBase Ero1L-RB	Figure for Ero1L-RB							
FBtr0076688	CdsA-RA	3.121981	0.008018	22.3	FlyBase CdsA-RA	Figure for CdsA-RA							
FBtr0087456	Cyp6a21-RA	3.702077	0	22.9	FlyBase Cyp6a21-RA	Figure for Cyp6a21-RA							
FBtr0087455	Cyp6a8-RA	0.60824	0.035493	3.3	FlyBase Cyp6a8-RA	Figure for Cyp6a8-RA							
FBtr0088746	Cyp4e1-RA	2.569249	0.005379	20.4	FlyBase Cyp4e1-RA	Figure for Cyp4e1-RA							
FBtr0110850	LPCAT-RB	0.338262	0.011589	10.7	FlyBase LPCAT-RB	Figure for LPCAT-RB							
FBtr0088905	Cyt-b5-RB	2.80502	0.005379	1.3	FlyBase Cyt-b5-RB	Figure for Cyt-b5-RB							
FBtr0345485	Cyp6w1-RB	1.082546	0.029055	10.4	FlyBase Cyp6w1-RB	Figure for Cyp6w1-RB							
FBtr0078694	Rheb-RB	1.250691	0.008018	19.8	FlyBase Rheb-RB	Figure for Rheb-RB							
FBtr0086691	PIG-O-RA	3.12483	0	18.7	FlyBase PIG-O-RA	Figure for PIG-O-RA							
FBtr0079250	Cpr-RA	0.969042	0.018529	21.5	FlyBase Cpr-RA	Figure for Cpr-RA							
FBtr0114558	Cyp4aa1-RB	2.78368	0	0.8	FlyBase Cyp4aa1-RB	Figure for Cyp4aa1-RB							
FBtr0076204	Mocs1-RA	3.719518	0	21.8	FlyBase Mocs1-RA	Figure for Mocs1-RA							
FBtr0074925	Cyp305a1-RA	4.05098	0	2.8	FlyBase Cyp305a1-RA	Figure for Cyp305a1-RA							
FBtr0085438	Cnx99A-RB	1.703047	0.011589	18.4	FlyBase Cnx99A-RB	Figure for Cnx99A-RB							
FBtr0290130	CG6910-RB	0.57497	0.052189	7.4	FlyBase CG6910-RB	Figure for CG6910-RB							
FBtr0086148	Fmo-2-RA	1.69632	0.023884	23	FlyBase Fmo-2-RA	Figure for Fmo-2-RA							
FBtr0344849	Cyt-c-p-RB	2.364729	0.009609	23.1	FlyBase Cyt-c-p-RB	Figure for Cyt-c-p-RB							
FBtr0078225	CG11796-RA	2.399006	0.009609	2.7	FlyBase CG11796-RA	Figure for CG11796-RA							
FBtr0088592	Cyp4p1-RA	2.929244	0.008018	4.5	FlyBase Cyp4p1-RA	Figure for Cyp4p1-RA							
FBtr0084289	CG5346-RA	0.693484	0.047988	3.6	FlyBase CG5346-RA	Figure for CG5346-RA							
													
Cluster-18	total=5	enrichmentScore=1.142476864565862	phaseStdDev=3.2878074881285495	"Pyridoxal phosphate-dependent transferase, major region, subdomain 2,pyridoxal phosphate binding,Pyridoxal phosphate-dependent transferase, major region, subdomain 1,Pyridoxal phosphate-dependent transferase,Pyridoxal phosphate-dependent decarboxylase,Pyridoxal phosphateAnnotation Cluster 18"	Enrichment Score: 1.142476864565862								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
INTERPRO	"IPR015422:Pyridoxal phosphate-dependent transferase, major region, subdomain 2"	5	0.851788756	0.035085037	-2.0980742	3.287807488	"FBtr0309960, FBtr0088333, FBtr0339497, FBtr0078179, FBtr0078536"	534	26	10984	3.955632383	1	1
GOTERM_MF_DIRECT	GO:0030170~pyridoxal phosphate binding	5	0.851788756	0.0675797	-2.0980742	3.287807488	"FBtr0309960, FBtr0088333, FBtr0339497, FBtr0078179, FBtr0078536"	425	34	9284	3.212456747	1	1
INTERPRO	"IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1"	5	0.851788756	0.073848983	-2.0980742	3.287807488	"FBtr0309960, FBtr0088333, FBtr0339497, FBtr0078179, FBtr0078536"	534	33	10984	3.116558847	1	1
INTERPRO	IPR015424:Pyridoxal phosphate-dependent transferase	5	0.851788756	0.08063901	-2.0980742	3.287807488	"FBtr0309960, FBtr0088333, FBtr0339497, FBtr0078179, FBtr0078536"	534	34	10984	3.024895351	1	1
INTERPRO	IPR002129:Pyridoxal phosphate-dependent decarboxylase	3	0.511073254	0.081698023	-2.095026667	0.846940028	"FBtr0309960, FBtr0088333, FBtr0078179"	534	10	10984	6.170786517	1	1
UP_KEYWORDS	Pyridoxal phosphate	4	0.681431005	0.121087513	-3.37041575	2.327623788	"FBtr0309960, FBtr0088333, FBtr0078179, FBtr0078536"	587	29	13921	3.271103801	1	0.538166723
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0309960	b-RB	0.645929	0.026614	20.7	FlyBase b-RB	Figure for b-RB							
FBtr0088333	Hdc-RA	2.124631	0.008018	22.7	FlyBase Hdc-RA	Figure for Hdc-RA							
FBtr0078179	CG5618-RA	1.538144	0.014377	22.3	FlyBase CG5618-RA	Figure for CG5618-RA							
FBtr0339497	CG1461-RB	2.918464	0	3	FlyBase CG1461-RB	Figure for CG1461-RB							
FBtr0078536	CG11241-RA	1.257136	0.023884	16.8	FlyBase CG11241-RA	Figure for CG11241-RA							
													
Cluster-19	total=172	enrichmentScore=1.0420785179701222	phaseStdDev=4.870897813278969	"Membrane,Transmembrane,Transmembrane helix,integral component of membraneAnnotation Cluster 19"	Enrichment Score: 1.0420785179701222								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
