geneID	symbol
FBtr0336484	CG9795-RF
FBtr0304688	CG42613-RH
FBtr0083581	CG7675-RA
FBtr0080260	crol-RD
FBtr0083583	CG7675-RC
FBtr0330254	alpha-Catr-RC
FBtr0304680	unc-104-RG
FBtr0310287	CHES-1-like-RC
FBtr0078870	CG1129-RB
FBtr0086061	scaf-RA
FBtr0334648	Clk-RH
FBtr0080060	CG5381-RA
FBtr0070874	Efr-RA
FBtr0301639	stmA-RC
FBtr0089339	Rel-RB
FBtr0086285	CG8929-RA
FBtr0074383	CG16700-RA
FBtr0345076	CG42724-RM
FBtr0113096	CG15118-RE
