geneID	symbol
FBtr0080769	Gli-RE
FBtr0085210	CG5646-RA
FBtr0083801	CG6184-RA
FBtr0089356	lola-RQ
FBtr0308891	CG34135-RC
FBtr0308591	CG34449-RD
FBtr0088632	CG13741-RA
FBtr0088631	CG8078-RA
FBtr0332882	AspRS-RB
FBtr0300058	CG32441-RD
FBtr0077652	GABPI-RA
FBtr0076655	CG6683-RA
FBtr0113196	CG1208-RB
FBtr0079262	CG31638-RA
FBtr0346864	caps-RE
FBtr0334528	f-cup-RH
FBtr0080930	Cse1-RA
FBtr0273263	Mmp1-RC
FBtr0088834	CG1882-RA
FBtr0080112	Dpy-30L1-RA
FBtr0082392	CG17230-RA
FBtr0332863	Cyp312a1-RB
FBtr0300688	CG10809-RB
FBtr0078584	Obp83cd-RA
FBtr0082649	CG6225-RA
FBtr0078649	Rm62-RC
FBtr0273277	CG5535-RC
FBtr0100014	Ir62a-RA
FBtr0345697	CG1882-RG
FBtr0113107	Liprin-gamma-RD
FBtr0071671	CG10307-RA
FBtr0071772	Vps35-RA
FBtr0334144	Vti1b-RA
FBtr0088128	CG13204-RA
FBtr0088640	RyR-RA
FBtr0299566	CG14710-RB
FBtr0302563	kar-RB
FBtr0331443	EndoGI-RC
FBtr0342882	Rgk3-RE
FBtr0345211	qless-RB
FBtr0342886	CG42672-RK
FBtr0072972	Pgant6-RA
FBtr0333889	Fhos-RJ
FBtr0078675	CG2082-RA
FBtr0301156	Zasp66-RM
FBtr0071197	CG1440-RA
FBtr0113687	Gfat1-RA
FBtr0087856	sca-RB
FBtr0299748	Doa-RS
FBtr0301978	ATbp-RB
FBtr0083414	m-cup-RA
FBtr0306755	cnc-RL
FBtr0333402	Iml1-RE
FBtr0302176	CG1513-RB
FBtr0343010	CG33143-RF
FBtr0112741	ND-MWFE-RB
FBtr0084035	CG7044-RA
FBtr0333404	smid-RI
FBtr0342814	trol-RAO
FBtr0333813	pain-RB
FBtr0072374	CG3594-RA
FBtr0290323	net-RB
FBtr0342818	trol-RAS
FBtr0077442	CG15436-RA
FBtr0076504	Nf-YA-RA
FBtr0339077	Trpm-RE
FBtr0343375	pigs-RC
FBtr0076135	RIOK1-RB
FBtr0083739	Dl-RA
FBtr0301496	osp-RF
FBtr0086982	CG15611-RA
FBtr0084357	CG17119-RA
FBtr0073796	CG1764-RA
FBtr0089549	aft-RA
FBtr0079283	CG9497-RA
FBtr0089546	CG5002-RA
FBtr0079028	CG31918-RA
FBtr0100344	sv-RF
FBtr0078160	CG13694-RA
FBtr0306381	CG18659-RE
FBtr0074680	nAChRalpha7-RA
FBtr0340473	CG2972-RB
FBtr0077537	CG2818-RA
FBtr0077531	drm-RA
FBtr0077439	Elp3-RA
FBtr0081958	CAHbeta-RA
FBtr0078468	mub-RA
FBtr0070894	Spx-RA
FBtr0340309	Lrp4-RD
FBtr0083524	Odj-RA
FBtr0339750	Ucp4A-RC
FBtr0077747	Rad1-RA
FBtr0085558	Sry-delta-RA
FBtr0078740	CG2911-RA
FBtr0087731	Spt-I-RC
FBtr0087636	CG6329-RD
FBtr0076223	Ufd1-like-RA
FBtr0302046	Mi-2-RC
FBtr0088306	trsn-RA
FBtr0074121	shi-RA
FBtr0073767	Syt12-RA
FBtr0305693	jvl-RE
FBtr0082260	CG6325-RA
FBtr0077326	Obp19c-RA
FBtr0343574	mei-9-RB
FBtr0340271	CG30109-RB
FBtr0273341	CG30460-RG
FBtr0303107	CG7971-RF
FBtr0307520	CG5151-RD
FBtr0078127	CG3345-RA
FBtr0081251	CG13082-RA
FBtr0072605	CG13895-RA
FBtr0083183	spn-E-RA
FBtr0301331	cdc14-RC
FBtr0339379	Adk3-RD
FBtr0334671	gfzf-RE
FBtr0114371	CG3552-RD
FBtr0088606	hig-RB
FBtr0345104	Svil-RW
FBtr0332139	UbcE2M-RC
FBtr0075233	blot-RB
FBtr0088601	Pkn-RB
FBtr0331984	SmydA-7-RB
FBtr0300550	CG4619-RB
FBtr0332133	dbo-RB
FBtr0082329	CG6621-RA
FBtr0345317	Shmt-RC
FBtr0334559	Efa6-RH
FBtr0301529	Rab26-RD
FBtr0079139	CG7239-RA
FBtr0085679	CG9717-RA
FBtr0336452	LpR2-RI
FBtr0344030	ctrip-RM
FBtr0071491	CG2124-RA
FBtr0083354	CG14907-RA
FBtr0304681	lig-RH
FBtr0087297	Diap2-RB
FBtr0084077	mod(mdg4)-RR
FBtr0299905	CG6675-RB
FBtr0334488	Sox102F-RC
FBtr0075095	GNBP2-RA
FBtr0334074	CG8001-RD
FBtr0331186	Rchy1-RB
FBtr0345950	Mctp-RF
FBtr0334171	Nhe2-RJ
FBtr0345075	CG42724-RL
FBtr0113477	CG6006-RC
FBtr0081005	dl-RA
FBtr0073846	CG12177-RA
FBtr0343331	CG4593-RB
FBtr0082771	Lip3-RA
FBtr0082637	Hsp70Bb-RA
FBtr0304810	CG43078-RD
FBtr0074486	CG8326-RA
FBtr0077438	CG15432-RA
FBtr0082076	CG8312-RB
FBtr0080276	Mal-B2-RA
FBtr0082078	SpdS-RA
FBtr0080275	Mal-B1-RA
FBtr0300123	bnl-RC
FBtr0077961	Tango14-RA
FBtr0100635	slo-RN
FBtr0072423	CG16896-RA
FBtr0071397	CG15247-RA
FBtr0089291	Wnt4-RA
FBtr0079993	GATAd-RA
FBtr0113378	CG30460-RE
FBtr0076382	LanB2-RA
FBtr0077706	CG31689-RD
FBtr0075035	Mkp3-RB
FBtr0081070	CG15160-RA
FBtr0086732	CG5098-RA
FBtr0330324	CG43740-RC
FBtr0075965	CG4069-RA
FBtr0088431	PIG-N-RA
FBtr0088345	CAP-RD
FBtr0081988	D1-RA
FBtr0332706	Irbp18-RB
FBtr0074168	AlkB-RA
FBtr0087520	O-fut1-RA
FBtr0308791	sm-RU
FBtr0339154	GABA-B-R2-RC
FBtr0308793	sm-RW
FBtr0073068	PHGPx-RD
FBtr0344882	CG10433-RC
FBtr0086245	Fem-1-RA
FBtr0302035	mim-RD
FBtr0085584	Tpi-RC
FBtr0084913	CG14545-RA
FBtr0343981	ATPsyndelta-RC
FBtr0333544	frtz-RB
FBtr0078008	Nnf1b-RA
FBtr0302360	Lectin-galC1-RB
FBtr0337051	CG6293-RB
FBtr0083374	Sf3a1-RA
FBtr0302713	CG42674-RB
FBtr0302711	CG42673-RD
FBtr0081217	CG17544-RC
FBtr0077381	CG3294-RA
FBtr0330400	Rab3-GEF-RG
FBtr0336918	CG1620-RC
FBtr0088331	Or46a-RB
FBtr0300511	alpha-Man-Ia-RJ
FBtr0075428	Golgin104-RA
FBtr0083172	CG9590-RA
FBtr0082555	DCAF12-RA
FBtr0082226	pont-RA
FBtr0075515	CG17028-RA
FBtr0303565	Sin3A-RE
FBtr0114627	Ehbp1-RF
FBtr0334283	Rgk1-RB
FBtr0334699	Sulf1-RB
FBtr0070468	sgg-RE
FBtr0300267	heph-RS
FBtr0073242	CG11583-RA
FBtr0079077	CG12512-RA
FBtr0332870	CanA-14F-RD
FBtr0112836	Btk29A-RE
FBtr0307295	Appl-RF
FBtr0346321	sage-RC
FBtr0078484	CG7130-RA
FBtr0081098	CG10343-RA
FBtr0078944	eIF3a-RA
FBtr0075190	Adgf-A-RA
FBtr0303148	Ptp99A-RF
FBtr0075206	CycT-RA
FBtr0332853	CG10916-RB
FBtr0301140	CG5021-RD
FBtr0076030	Klp68D-RA
FBtr0330706	Slob-RJ
FBtr0071181	ND-75-RB
FBtr0300410	Mapmodulin-RD
FBtr0070515	dnc-RD
FBtr0079200	Arpc4-RA
FBtr0087842	Iswi-RB
FBtr0344740	Skp2-RE
FBtr0076651	CG6638-RA
FBtr0307033	Nlg2-RB
FBtr0300784	FoxK-RH
FBtr0070948	pigs-RA
FBtr0308584	ZAP3-RF
FBtr0100676	btl-RB
FBtr0342801	sktl-RB
FBtr0310659	Actn-RH
FBtr0083819	Ask1-RB
FBtr0084002	Rlip-RA
FBtr0072307	CG11414-RA
FBtr0072304	CG13585-RB
FBtr0079682	PIG-U-RA
FBtr0333598	ClC-c-RD
FBtr0306031	CG9270-RC
FBtr0321313	chif-RD
FBtr0340490	CG44437-RA
FBtr0077459	CG15431-RA
FBtr0113424	CG32121-RB
FBtr0085414	dgt6-RA
FBtr0336486	CG14906-RC
FBtr0082722	yellow-f2-RA
FBtr0086133	Cyp6a2-RA
FBtr0331728	CG12772-RB
FBtr0305984	Idgf2-RB
FBtr0299641	corn-RC
FBtr0079106	GluRIIA-RI
FBtr0088577	Su(var)2-10-RB
FBtr0332059	CG6610-RB
FBtr0339973	CG32944-RG
FBtr0082648	Dtg-RA
FBtr0333500	Glut1-RO
FBtr0112645	CG34396-RD
FBtr0070887	CG4666-RA
FBtr0081628	CG1979-RA
FBtr0335166	Cyp309a1-RB
FBtr0302615	tacc-RJ
FBtr0329864	UQCR-6.4-RB
FBtr0339769	CG15890-RB
FBtr0081967	CG11986-RA
FBtr0343517	Mur2B-RC
FBtr0306556	spir-RF
FBtr0081146	CG10470-RA
FBtr0086640	CG15093-RA
FBtr0075810	Tgi-RB
FBtr0075952	SmD1-RA
FBtr0084536	CG5991-RA
FBtr0078962	CG12581-RA
FBtr0300000	Nost-RE
FBtr0345078	ReepA-RR
FBtr0309246	AMPdeam-RJ
FBtr0100454	hth-RE
FBtr0081817	CG2747-RB
FBtr0332738	RhoGEF64C-RB
FBtr0300227	Nop60B-RC
FBtr0082346	RpL3-RA
FBtr0078139	mbm-RA
FBtr0075391	st-RA
FBtr0080146	YL-1-RA
FBtr0305071	gish-RJ
FBtr0070380	csw-RC
FBtr0334646	Hn-RD
FBtr0113018	CG15412-RB
FBtr0078683	Hcs-RA
FBtr0335478	CG17260-RB
FBtr0300130	CG3894-RC
FBtr0082991	CG14855-RA
FBtr0074251	disco-r-RA
FBtr0081397	Hr38-RB
FBtr0331697	lili-RB
FBtr0331519	CG43783-RG
FBtr0331516	CG43783-RA
FBtr0080915	mdy-RA
FBtr0079089	tkv-RD
FBtr0077008	Ldh-RA
FBtr0079495	LKRSDH-RA
FBtr0073215	CG1299-RA
FBtr0339789	Pp2A-29B-RE
FBtr0076656	ZC3H3-RA
FBtr0334496	CG9757-RB
FBtr0305007	pasi1-RB
FBtr0345392	CG8180-RC
FBtr0342848	CG7378-RC
FBtr0081764	Prat-RA
FBtr0113164	CG6024-RC
FBtr0072635	CG9119-RA
FBtr0071793	Vrp1-RA
FBtr0075554	Eip71CD-RB
FBtr0075499	Diap1-RB
FBtr0345238	alpha-Man-IIb-RC
FBtr0090026	MRP-RN
FBtr0089853	CG33298-RB
FBtr0076410	CG6749-RA
FBtr0086832	icln-RA
FBtr0083203	blp-RA
FBtr0075775	Frl-RA
FBtr0074733	CG14207-RA
FBtr0083201	Fbxl7-RA
FBtr0085349	CG14523-RA
FBtr0077953	Atg4a-RA
FBtr0076896	CG9948-RA
FBtr0083843	PIG-L-RB
FBtr0303573	Lpin-RC
FBtr0304914	mld-RE
FBtr0333397	Pex10-RB
FBtr0073518	rho-4-RB
FBtr0076259	CG14153-RA
FBtr0081846	stck-RC
FBtr0078713	Wdr33-RA
FBtr0078247	Pitslre-RA
FBtr0070254	CG14778-RA
FBtr0302092	plx-RD
FBtr0085527	dgt1-RA
FBtr0084743	CG5805-RA
FBtr0306687	tmod-RO
FBtr0086681	Dp1-RE
FBtr0078926	CG14650-RA
FBtr0330647	Amnionless-RB
FBtr0086725	imd-RA
FBtr0331866	CG2211-RB
FBtr0071937	Cdk9-RA
FBtr0087536	SmydA-1-RA
FBtr0340452	CG10737-RW
FBtr0086256	Hil-RA
FBtr0086257	Nnf1a-RA
FBtr0073173	CG10866-RA
FBtr0308131	sd-RM
FBtr0333166	LamC-RB
FBtr0071272	Moe-RC
FBtr0114451	CG10353-RC
FBtr0340678	Nna1-RH
FBtr0087334	CG30467-RA
FBtr0344433	CG45071-RA
FBtr0083913	CG5466-RA
FBtr0082026	CG8129-RB
FBtr0082908	CG14356-RA
FBtr0070671	CG6379-RA
FBtr0075774	CG6833-RA
FBtr0331654	Chd1-RC
FBtr0070676	CG3568-RA
FBtr0078183	in-RA
FBtr0070170	mus81-RA
FBtr0083143	Act88F-RA
FBtr0309217	CG14231-RB
FBtr0088495	CG1688-RA
FBtr0336997	CG30491-RB
FBtr0089628	CG10383-RA
FBtr0340352	rad-RK
FBtr0076637	CG6282-RB
FBtr0079368	x16-RA
FBtr0087815	Balat-RA
FBtr0075509	GXIVsPLA2-RA
FBtr0070439	egh-RC
FBtr0088811	kermit-RA
FBtr0307500	Ptr-RB
FBtr0337039	tinc-RG
FBtr0339986	Pcf11-RG
FBtr0079040	Rtnl1-RE
FBtr0086535	CG7744-RA
FBtr0084125	CG5849-RA
FBtr0300877	CG14995-RF
FBtr0333265	roq-RC
FBtr0071548	grau-RA
FBtr0334612	Nrx-1-RH
FBtr0087009	CG30460-RB
FBtr0070355	CG32801-RA
FBtr0070829	mof-RA
FBtr0305126	CG2906-RE
FBtr0072349	Letm1-RC
FBtr0072577	RabX6-RA
FBtr0344026	CG42394-RD
FBtr0345122	CG9733-RB
FBtr0303290	CG15771-RC
FBtr0072799	drpr-RB
FBtr0085307	Sid-RA
FBtr0071033	cm-RA
FBtr0076695	CG8005-RA
FBtr0303229	CG9536-RB
FBtr0072795	Cht2-RA
FBtr0082434	Blm-RA
FBtr0304025	Sik3-RB
FBtr0080009	Cnot4-RA
FBtr0089520	AnxB9-RD
FBtr0304744	pps-RB
FBtr0310660	Ald-RK
FBtr0084016	Usp8-RA
FBtr0308892	CG40498-RG
FBtr0347555	udd-RB
FBtr0309101	Nha2-RB
FBtr0084151	dnd-RA
FBtr0308599	Doa-RY
FBtr0303908	Nckx30C-RD
FBtr0345873	Cyp317a1-RC
FBtr0071108	Gclc-RB
FBtr0336714	Rim-RR
FBtr0090019	MRP-RG
FBtr0073820	Rtc1-RA
FBtr0077462	Vps53-RA
FBtr0308570	et-RB
FBtr0306006	Lst-RC
FBtr0303225	CG17002-RC
FBtr0084336	Gclm-RA
FBtr0331739	CG13003-RC
FBtr0075981	ArfGAP1-RA
FBtr0089564	Zasp66-RG
FBtr0077903	CG17712-RA
FBtr0333122	CG43085-RB
FBtr0332023	Ca-alpha1D-RH
FBtr0087470	Trs31-RA
FBtr0343281	SERCA-RI
FBtr0306705	Su(var)2-10-RM
FBtr0077513	capu-RA
FBtr0085494	CG31038-RA
FBtr0330329	Ack-like-RA
FBtr0333048	Gug-RI
FBtr0076027	yps-RA
FBtr0290050	CG31028-RC
FBtr0340635	chas-RD
FBtr0081971	Ada-RA
FBtr0114550	pes-RC
FBtr0083509	Lgr1-RA
FBtr0077768	PIG-Wa-RA
FBtr0344326	CG31224-RB
FBtr0087611	Rpn13-RB
FBtr0076714	CG7194-RA
FBtr0071815	Gp150-RC
FBtr0339574	CG31778-RB
FBtr0088695	Gle1-RA
FBtr0088690	Cyp6a13-RA
FBtr0088692	rgr-RA
FBtr0075942	CG10960-RB
FBtr0290019	Slik-RF
FBtr0343046	Wnt5-RB
FBtr0335476	crol-RI
FBtr0343597	CG2841-RF
FBtr0081291	CG10466-RA
FBtr0077341	CG17068-RA
FBtr0074386	CG5004-RA
FBtr0340023	CG42372-RC
FBtr0300191	Atpalpha-RI
FBtr0300624	CG42498-RA
FBtr0340027	Spt6-RB
FBtr0307540	mmd-RE
FBtr0083751	CG5835-RA
FBtr0099990	kay-RB
FBtr0305084	Dab-RC
FBtr0077245	Cbs-RB
FBtr0336974	Ir41a-RC
FBtr0083590	PKD-RB
FBtr0087764	CG4646-RA
FBtr0086628	CG15099-RA
FBtr0084327	Irp-1A-RA
FBtr0070625	CG6428-RA
FBtr0345816	Spn77Ba-RC
FBtr0346181	Ahcy-RC
FBtr0303885	CG31886-RC
FBtr0302946	CG15282-RB
FBtr0078988	CG14636-RA
FBtr0331404	Sf3b3-RC
FBtr0076662	CG32354-RA
FBtr0303464	CNBP-RB
FBtr0331173	roq-RB
FBtr0079253	CG9505-RA
FBtr0335230	CG2747-RF
FBtr0088824	slv-RA
FBtr0079313	Tsp-RC
FBtr0333312	dnc-RP
FBtr0071110	CG2258-RB
FBtr0112851	Mbs-RG
FBtr0083275	Mat89Ba-RA
FBtr0308083	RyR-RJ
FBtr0080686	CG15279-RA
FBtr0308592	Ctr1A-RB
FBtr0333258	tim-RR
FBtr0290262	CLIP-190-RI
FBtr0331597	Gbeta13F-RG
FBtr0071666	NC2alpha-RA
FBtr0330102	fz-RC
FBtr0084387	wda-RA
FBtr0070241	DAAM-RA
FBtr0070499	CG2685-RA
FBtr0331598	Syt12-RB
FBtr0307505	CG31076-RB
FBtr0345208	CG17931-RD
FBtr0073989	CG14407-RA
FBtr0333489	TfIIB-RB
FBtr0304833	nrm-RE
FBtr0079673	CG31897-RA
FBtr0074669	Mec2-RA
FBtr0074745	Sec61gamma-RA
FBtr0075763	Hsc70-1-RD
FBtr0082018	pasi2-RC
FBtr0080993	CG15143-RA
FBtr0084029	CG7009-RA
FBtr0299816	CG4975-RC
FBtr0076496	Hsp26-RA
FBtr0073506	Spase25-RA
FBtr0308034	DOR-RH
FBtr0072995	CG11486-RD
FBtr0305946	SLO2-RH
FBtr0079835	CG3838-RB
FBtr0300999	CG31612-RB
FBtr0330071	Awh-RD
FBtr0331685	NPF-RB
FBtr0336468	Arp5-RB
FBtr0305681	PK1-R-RE
FBtr0339100	Snp-RE
FBtr0084803	dan-RA
FBtr0084691	tld-RA
FBtr0085537	Rnb-RA
FBtr0308627	scrib-RK
FBtr0078937	CG31523-RA
FBtr0306391	CG8086-RG
FBtr0305339	Cks85A-RB
FBtr0073766	CG15747-RA
FBtr0086994	mbl-RD
FBtr0086145	Hsepi-RA
FBtr0074696	CG7914-RA
FBtr0336458	srl-RE
FBtr0087202	CG8320-RA
FBtr0073160	ida-RA
FBtr0330253	CG9410-RE
FBtr0076832	Cyp4d8-RA
FBtr0088119	CG7745-RA
FBtr0309501	kirre-RF
FBtr0329884	NaPi-T-RB
FBtr0301312	plh-RB
FBtr0078770	PEK-RA
FBtr0345982	CG10932-RB
FBtr0345900	CG4666-RB
FBtr0113338	cpx-RM
FBtr0331920	hpo-RB
FBtr0088259	Prx2540-2-RA
FBtr0070108	CG3038-RA
FBtr0077684	Prx6005-RA
FBtr0302489	CG11768-RB
FBtr0080839	chif-RB
FBtr0086034	CG1344-RA
FBtr0335502	CG13116-RB
FBtr0332979	CG18869-RB
FBtr0112406	CG34213-RA
FBtr0082638	Hsp70Bc-RA
FBtr0083335	nonA-l-RA
FBtr0088922	CG2065-RA
FBtr0307537	zld-RD
FBtr0079948	Prosalpha6-RA
FBtr0072396	CG3829-RA
FBtr0340387	GEFmeso-RG
FBtr0083728	ATPsynD-RA
FBtr0332600	Tsp26A-RD
FBtr0113135	ens-RF
FBtr0076905	CG14823-RA
FBtr0076908	CG14823-RD
FBtr0305059	brp-RI
FBtr0076797	lqf-RC
FBtr0082335	CG14695-RA
FBtr0306252	SC35-RD
FBtr0332102	E(bx)-RH
FBtr0084583	Slimp-RA
FBtr0300660	CG42516-RA
FBtr0072548	CG1233-RB
FBtr0074232	nonA-RA
FBtr0301821	Mnt-RD
FBtr0082118	mura-RC
FBtr0333857	CG6767-RG
FBtr0072800	CG18171-RA
FBtr0075151	Eip75B-RD
FBtr0082443	CG18476-RA
FBtr0082442	Taf12-RA
FBtr0304051	Jabba-RF
FBtr0080065	nmd-RA
FBtr0082294	SelR-RC
FBtr0080541	Sos-RA
FBtr0304695	stj-RD
FBtr0089274	Shaw-RA
FBtr0333325	Atpalpha-RK
FBtr0088970	so-RA
FBtr0072323	CG3663-RA
FBtr0306939	CG43340-RK
FBtr0072890	CG9004-RA
FBtr0072711	CG12084-RA
FBtr0084739	lili-RA
FBtr0084637	beta-PheRS-RA
FBtr0076999	CG7386-RA
FBtr0075125	CG32195-RA
FBtr0306541	CG11374-RC
FBtr0077571	msl-2-RA
FBtr0071250	CG1785-RA
FBtr0076476	CG3448-RB
FBtr0076472	Uch-L5-RA
FBtr0086810	CG14495-RA
FBtr0074718	Pfrx-RH
FBtr0074492	CG6762-RA
FBtr0089184	mGluR-RA
FBtr0084322	CG17141-RA
FBtr0077971	Tgt-RA
FBtr0306301	CG9636-RD
FBtr0087355	CG8187-RA
FBtr0342913	noc-RB
FBtr0085769	qless-RA
FBtr0087217	Rho1-RG
FBtr0085488	Cad99C-RA
FBtr0346162	CG9747-RB
