Cluster-1	total=47	enrichmentScore=2.385266169264057	phaseStdDev=5.5262231507656425	"Membrane,Transmembrane helix,Transmembrane,integral component of membraneAnnotation Cluster 1"	Enrichment Score: 2.385266169264057								
FBtr0077008	Ldh-RA	1.880868	0.003712	12.4	FlyBase Ldh-RA	Figure for Ldh-RA							
FBtr0290050	CG31028-RC	1.098503	0.033074	4.2	FlyBase CG31028-RC	Figure for CG31028-RC							
FBtr0332863	Cyp312a1-RB	2.944176	0	2.5	FlyBase Cyp312a1-RB	Figure for Cyp312a1-RB							
FBtr0082265	pug-RA	0.957005	0.044621	3.8	FlyBase pug-RA	Figure for pug-RA							
FBtr0088690	Cyp6a13-RA	0.969891	0.044621	7.4	FlyBase Cyp6a13-RA	Figure for Cyp6a13-RA							
FBtr0082259	Irp-1B-RA	1.588933	0.012733	4.8	FlyBase Irp-1B-RA	Figure for Irp-1B-RA							
													
Cluster-10	total=10	enrichmentScore=0.573650177713749	phaseStdDev=2.8554502394210988	"Lumenal,N-linked (GlcNAc...),Glycoprotein,transmembrane region,CytoplasmicAnnotation Cluster 10"	Enrichment Score: 0.573650177713749								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_SEQ_FEATURE	topological domain:Lumenal	3	2.325581395	0.139222884	8.084927	1.880452072	"FBtr0084357, FBtr0072694, FBtr0078770"	34	62	3113	4.430265655	0.99999999	1
UP_SEQ_FEATURE	glycosylation site:N-linked (GlcNAc...)	8	6.201550388	0.151079111	5.3685455	2.909797393	"FBtr0306351, FBtr0082771, FBtr0084357, FBtr0078770, FBtr0084691, FBtr0088331, FBtr0072127, FBtr0071653"	34	423	3113	1.731608956	0.999999998	1
UP_KEYWORDS	Glycoprotein	8	6.201550388	0.180996023	5.3685455	2.909797393	"FBtr0306351, FBtr0082771, FBtr0084357, FBtr0078770, FBtr0084691, FBtr0088331, FBtr0072127, FBtr0071653"	129	503	13921	1.716337633	1	1
UP_SEQ_FEATURE	transmembrane region	7	5.426356589	0.571408226	5.500673429	3.126296729	"FBtr0306351, FBtr0084357, FBtr0072694, FBtr0078770, FBtr0079782, FBtr0088331, FBtr0071653"	34	566	3113	1.132352941	1	1
UP_SEQ_FEATURE	topological domain:Cytoplasmic	5	3.875968992	0.622613517	7.1397826	2.068389947	"FBtr0084357, FBtr0072694, FBtr0078770, FBtr0088331, FBtr0071653"	34	397	3113	1.153133798	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0084691	tld-RA	1.47289	0.025455	5.9	FlyBase tld-RA	Figure for tld-RA							
FBtr0084357	CG17119-RA	1.192538	0.026973	8.9	FlyBase CG17119-RA	Figure for CG17119-RA							
FBtr0072127	gbb-RA	1.186604	0.028027	3.3	FlyBase gbb-RA	Figure for gbb-RA							
FBtr0082771	Lip3-RA	1.370788	0.015735	2.2	FlyBase Lip3-RA	Figure for Lip3-RA							
FBtr0072694	rho-RA	0.879529	0.04508	5.5	FlyBase rho-RA	Figure for rho-RA							
FBtr0078770	PEK-RA	0.779956	0.040144	9.8	FlyBase PEK-RA	Figure for PEK-RA							
FBtr0088331	Or46a-RB	1.812787	0.01179	7.2	FlyBase Or46a-RB	Figure for Or46a-RB							
FBtr0071653	Egfr-RA	1.579842	0.021821	4.3	FlyBase Egfr-RA	Figure for Egfr-RA							
FBtr0079782	rost-RA	1.557125	0.020616	1.5	FlyBase rost-RA	Figure for rost-RA							
FBtr0306351	Mvl-RG	0.814089	0.044016	1.3	FlyBase Mvl-RG	Figure for Mvl-RG							
													
Cluster-11	total=9	enrichmentScore=0.5282874176065594	phaseStdDev=2.7104475550729608	"calcium ion binding,Protease,proteolysis,serine-type endopeptidase activityAnnotation Cluster 11"	Enrichment Score: 0.5282874176065594								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_MF_DIRECT	GO:0005509~calcium ion binding	5	3.875968992	0.146454542	7.002392	3.114461793	"FBtr0085488, FBtr0084691, FBtr0089520, FBtr0073518, FBtr0273263"	91	210	9284	2.429094715	1	1
UP_KEYWORDS	Protease	6	4.651162791	0.240375615	7.209936667	2.504301686	"FBtr0085401, FBtr0072694, FBtr0084691, FBtr0073518, FBtr0082898, FBtr0273263"	129	362	13921	1.788641912	1	1
GOTERM_BP_DIRECT	GO:0006508~proteolysis	6	4.651162791	0.426400422	6.748269667	2.989371961	"FBtr0085401, FBtr0084691, FBtr0300451, FBtr0073518, FBtr0082898, FBtr0273263"	100	475	10996	1.388968421	1	1
GOTERM_MF_DIRECT	GO:0004252~serine-type endopeptidase activity	4	3.100775194	0.513380598	6.084511	3.206201587	"FBtr0072694, FBtr0300451, FBtr0073518, FBtr0082898"	91	280	9284	1.457456829	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0084691	tld-RA	1.47289	0.025455	5.9	FlyBase tld-RA	Figure for tld-RA							
FBtr0300451	CG31205-RB	1.287545	0.014133	2.7	FlyBase CG31205-RB	Figure for CG31205-RB							
FBtr0072694	rho-RA	0.879529	0.04508	5.5	FlyBase rho-RA	Figure for rho-RA							
FBtr0273263	Mmp1-RC	1.030461	0.023784	10	FlyBase Mmp1-RC	Figure for Mmp1-RC							
FBtr0085401	CG31445-RA	0.748179	0.038029	5.8	FlyBase CG31445-RA	Figure for CG31445-RA							
FBtr0089520	AnxB9-RD	1.531322	0.023009	3.9	FlyBase AnxB9-RD	Figure for AnxB9-RD							
FBtr0082898	CG9631-RA	1.581808	0.021143	4.8	FlyBase CG9631-RA	Figure for CG9631-RA							
FBtr0073518	rho-4-RB	1.42522	0.031618	11.3	FlyBase rho-4-RB	Figure for rho-4-RB							
FBtr0085488	Cad99C-RA	1.442284	0.033669	3.9	FlyBase Cad99C-RA	Figure for Cad99C-RA							
													
Cluster-12	total=11	enrichmentScore=0.38320240244354015	phaseStdDev=6.399477413730555	"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,sequence-specific DNA binding,Activator,negative regulation of transcription from RNA polymerase II promoter,transcription factor activity, sequence-specific DNA binding,positive regulation of transcription from RNA polymerase II promoter,DNA binding,Transcription regulation,Transcription,DNA-binding,NucleusAnnotation Cluster 12"	Enrichment Score: 0.38320240244354015								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_MF_DIRECT	"GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding"	4	3.100775194	0.013827731	5.46648325	2.014706478	"FBtr0099990, FBtr0081005, FBtr0089339, FBtr0074875"	91	52	9284	7.847844463	0.892242931	1
GOTERM_MF_DIRECT	GO:0043565~sequence-specific DNA binding	5	3.875968992	0.251130376	2.473659	4.543952693	"FBtr0088306, FBtr0099990, FBtr0082851, FBtr0081005, FBtr0089339"	91	263	9284	1.939581331	1	1
UP_KEYWORDS	Activator	3	2.325581395	0.299126898	4.966856333	2.1008446	"FBtr0099990, FBtr0081005, FBtr0089339"	129	119	13921	2.720539379	1	1
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	3	2.325581395	0.389141887	0.598189333	4.085400993	"FBtr0290323, FBtr0081005, FBtr0089339"	100	149	10996	2.213959732	1	1
GOTERM_MF_DIRECT	"GO:0003700~transcription factor activity, sequence-specific DNA binding"	4	3.100775194	0.501232053	2.43124425	4.753750828	"FBtr0290323, FBtr0099990, FBtr0081005, FBtr0089339"	91	275	9284	1.483956044	1	1
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	3	2.325581395	0.612231472	4.966856333	2.1008446	"FBtr0099990, FBtr0081005, FBtr0089339"	100	228	10996	1.446842105	1	1
GOTERM_MF_DIRECT	GO:0003677~DNA binding	6	4.651162791	0.631443947	8.219305333	6.028865325	"FBtr0290323, FBtr0099990, FBtr0077442, FBtr0076476, FBtr0081005, FBtr0089339"	91	555	9284	1.102940303	1	1
UP_KEYWORDS	Transcription regulation	3	2.325581395	0.899333536	4.966856333	2.1008446	"FBtr0099990, FBtr0081005, FBtr0089339"	129	416	13921	0.778231216	1	1
UP_KEYWORDS	Transcription	3	2.325581395	0.917376323	4.966856333	2.1008446	"FBtr0099990, FBtr0081005, FBtr0089339"	129	442	13921	0.73245291	1	1
UP_KEYWORDS	DNA-binding	3	2.325581395	0.960078202	2.019102667	5.426916237	"FBtr0290323, FBtr0099990, FBtr0081005"	129	535	13921	0.60512932	1	1
UP_KEYWORDS	Nucleus	6	4.651162791	0.981964394	8.505030667	5.983095278	"FBtr0080930, FBtr0099990, FBtr0082851, FBtr0081005, FBtr0075952, FBtr0089339"	129	1134	13921	0.5709774	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0082851	Hrb87F-RA	1.572422	0.027683	3.4	FlyBase Hrb87F-RA	Figure for Hrb87F-RA							
FBtr0081005	dl-RA	1.739361	0.014133	3.3	FlyBase dl-RA	Figure for dl-RA							
FBtr0077442	CG15436-RA	1.129352	0.023417	2.3	FlyBase CG15436-RA	Figure for CG15436-RA							
FBtr0089339	Rel-RB	0.62316	0.014577	3.7	FlyBase Rel-RB	Figure for Rel-RB							
FBtr0076476	CG3448-RB	0.907957	0.047923	13.3	FlyBase CG3448-RB	Figure for CG3448-RB							
FBtr0088306	trsn-RA	0.390311	0.0455	18.1	FlyBase trsn-RA	Figure for trsn-RA							
FBtr0099990	kay-RB	0.962429	0.044379	7.9	FlyBase kay-RB	Figure for kay-RB							
FBtr0080930	Cse1-RA	1.024129	0.033074	13.7	FlyBase Cse1-RA	Figure for Cse1-RA							
FBtr0074875	SREBP-RC	1.343903	0.034557	7	FlyBase SREBP-RC	Figure for SREBP-RC							
FBtr0290323	net-RB	1.21871	0.024513	18.8	FlyBase net-RB	Figure for net-RB							
FBtr0075952	SmD1-RA	0.598038	0.042756	19	FlyBase SmD1-RA	Figure for SmD1-RA							
													
Cluster-13	total=13	enrichmentScore=0.26086446753157966	phaseStdDev=2.9887921875771113	"zinc ion binding,Metal-binding,ZincAnnotation Cluster 13"	Enrichment Score: 0.26086446753157966								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_MF_DIRECT	GO:0008270~zinc ion binding	8	6.201550388	0.434160311	6.1217855	3.046148351	"FBtr0087536, FBtr0085401, FBtr0084691, FBtr0077442, FBtr0081846, FBtr0273263, FBtr0075898, FBtr0332853"	91	644	9284	1.267353764	1	1
UP_KEYWORDS	Metal-binding	10	7.751937984	0.585978373	5.7909437	2.804644694	"FBtr0087536, FBtr0335166, FBtr0084691, FBtr0077971, FBtr0081846, FBtr0332863, FBtr0088690, FBtr0273263, FBtr0075898, FBtr0082259"	129	1008	13921	1.070582626	1	1
UP_KEYWORDS	Zinc	6	4.651162791	0.648447604	5.511055167	2.733482905	"FBtr0087536, FBtr0084691, FBtr0077971, FBtr0081846, FBtr0273263, FBtr0075898"	129	598	13921	1.082756475	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0084691	tld-RA	1.47289	0.025455	5.9	FlyBase tld-RA	Figure for tld-RA							
FBtr0081846	stck-RC	0.942524	0.046596	7.5	FlyBase stck-RC	Figure for stck-RC							
FBtr0335166	Cyp309a1-RB	0.522917	0.045142	10.1	FlyBase Cyp309a1-RB	Figure for Cyp309a1-RB							
FBtr0077442	CG15436-RA	1.129352	0.023417	2.3	FlyBase CG15436-RA	Figure for CG15436-RA							
FBtr0077971	Tgt-RA	0.885906	0.041427	3	FlyBase Tgt-RA	Figure for Tgt-RA							
FBtr0273263	Mmp1-RC	1.030461	0.023784	10	FlyBase Mmp1-RC	Figure for Mmp1-RC							
FBtr0085401	CG31445-RA	0.748179	0.038029	5.8	FlyBase CG31445-RA	Figure for CG31445-RA							
FBtr0332853	CG10916-RB	2.619871	0.007274	10.8	FlyBase CG10916-RB	Figure for CG10916-RB							
FBtr0087536	SmydA-1-RA	0.510988	0.031618	1.8	FlyBase SmydA-1-RA	Figure for SmydA-1-RA							
FBtr0332863	Cyp312a1-RB	2.944176	0	2.5	FlyBase Cyp312a1-RB	Figure for Cyp312a1-RB							
FBtr0075898	MICAL-like-RA	0.757822	0.042756	5	FlyBase MICAL-like-RA	Figure for MICAL-like-RA							
FBtr0088690	Cyp6a13-RA	0.969891	0.044621	7.4	FlyBase Cyp6a13-RA	Figure for Cyp6a13-RA							
FBtr0082259	Irp-1B-RA	1.588933	0.012733	4.8	FlyBase Irp-1B-RA	Figure for Irp-1B-RA							
													
Cluster-14	total=5	enrichmentScore=0.0835130529007887	phaseStdDev=5.060518314137018	"ATP,ATP-binding,Nucleotide-binding,ATP binding,P-loop containing nucleoside triphosphate hydrolaseAnnotation Cluster 14"	Enrichment Score: 0.0835130529007887								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_SEQ_FEATURE	nucleotide phosphate-binding region:ATP	3	2.325581395	0.625190208	5.995533667	2.72697692	"FBtr0082265, FBtr0078770, FBtr0071653"	34	196	3113	1.401410564	1	1
UP_KEYWORDS	ATP-binding	5	3.875968992	0.759925079	3.4774068	5.060518314	"FBtr0082265, FBtr0077705, FBtr0078770, FBtr0083183, FBtr0071653"	129	558	13921	0.966977856	1	1
UP_KEYWORDS	Nucleotide-binding	5	3.875968992	0.891659902	3.4774068	5.060518314	"FBtr0082265, FBtr0077705, FBtr0078770, FBtr0083183, FBtr0071653"	129	701	13921	0.769719891	1	1
GOTERM_MF_DIRECT	GO:0005524~ATP binding	5	3.875968992	0.940289791	3.4774068	5.060518314	"FBtr0082265, FBtr0077705, FBtr0078770, FBtr0083183, FBtr0071653"	91	751	9284	0.679240866	1	1
INTERPRO	IPR027417:P-loop containing nucleoside triphosphate hydrolase	3	2.325581395	0.959822294	1.083416667	4.818618509	"FBtr0082265, FBtr0077705, FBtr0083183"	106	512	10984	0.607163915	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0078770	PEK-RA	0.779956	0.040144	9.8	FlyBase PEK-RA	Figure for PEK-RA							
FBtr0077705	CG31689-RC	1.346878	0.017474	5.1	FlyBase CG31689-RC	Figure for CG31689-RC							
FBtr0082265	pug-RA	0.957005	0.044621	3.8	FlyBase pug-RA	Figure for pug-RA							
FBtr0071653	Egfr-RA	1.579842	0.021821	4.3	FlyBase Egfr-RA	Figure for Egfr-RA							
FBtr0083183	spn-E-RA	1.617283	0.012733	18.3	FlyBase spn-E-RA	Figure for spn-E-RA							
