#transcriptID	transcriptSymbol	chrom	strand	positions
FBtr0332149	Usp32-RC	3L	+	19865139:19871139,19871455:19873761
FBtr0077753	CG17234-RA	2L	+	2247045:2253045
FBtr0077756	CG4271-RA	2L	+	2279163:2285163
FBtr0085815	Med-RA	3R	+	31605046:31611046,31611745:31611979
FBtr0082799	rin-RE	3R	+	13641004:13647004,13647270:13647383
FBtr0339579	CG44314-RA	2R	+	12046944:12052944
FBtr0074739	Shawn-RD	X	+	19607722:19613722,19614144:19614213
FBtr0080499	CG7099-RA	2L	+	13381571:13387571,13387721:13387779
FBtr0077952	ast-RA	2L	+	1071948:1077948,1078569:1078625
FBtr0073724	MFS10-RA	X	+	13125516:13131516
FBtr0071223	Ogg1-RA	X	+	8684327:8690327,8690628:8690686
FBtr0081106	CG17322-RB	2L	+	18820770:18826770,18826824:18826902
FBtr0077826	Or22c-RA	2L	+	2048589:2054589,2055113:2055327
FBtr0310506	cpx-RZ	3R	+	4285738:4291738,4292270:4295120
FBtr0080333	ThrRS-RC	2L	+	12098283:12104283,12104383:12104492
FBtr0088710	gcl-RA	2R	+	8718258:8724258,8724465:8726615
FBtr0335202	CG1090-RH	3R	+	4353883:4359883,4359968:4363278
FBtr0332939	Eb1-RG	2R	+	6745644:6751644,6751714:6752632
FBtr0335145	dia-RE	2L	+	20752144:20758144,20758664:20760525
FBtr0079474	Myo28B1-RC	2L	+	7660047:7666047,7666104:7680608
FBtr0344391	CG3940-RB	3R	+	10106237:10112237,10112814:10117609
FBtr0080965	CG31750-RA	2L	+	17175938:17181938,17182592:17183025
FBtr0334692	CG44038-RA	3R	+	12254969:12260969
FBtr0077771	dpp-RA	2L	+	2422372:2428372,2429051:2455057
FBtr0335387	FASN1-RC	2L	+	3050989:3056989,3057111:3059605
FBtr0087893	CG17739-RA	2R	+	12300528:12306528,12306554:12307279
FBtr0301442	CLIP-190-RO	2L	+	17378700:17384700,17385496:17385561
FBtr0080448	Prosalpha6T-RA	2L	+	13226039:13232039
FBtr0075908	ara-RA	3L	+	12574672:12580672,12581154:12585742
FBtr0333421	CG31704-RB	2L	+	11834691:11840691
FBtr0072993	CG11486-RB	3L	+	3071929:3077929,3078188:3083733
FBtr0073441	Dlic-RA	X	+	11148421:11154421,11154666:11155034
FBtr0335472	CG14931-RC	2L	+	11782334:11788334,11788591:11788653
FBtr0072988	CG1271-RD	3L	+	3046659:3052659,3052857:3052934
FBtr0082929	PR-Set7-RA	3R	+	14310038:14316038,14316204:14316477
FBtr0081673	CG15186-RB	3R	+	6480984:6486984,6487324:6489627
FBtr0303387	Msp300-RG	2L	+	5145749:5151749,5151942:5152037
FBtr0346419	CG12617-RC	2L	+	20288693:20294693
FBtr0334159	CG31689-RF	2L	+	2724104:2730104,2730373:2736311
FBtr0088780	sand-RA	2R	+	8085696:8091696,8092166:8095079
FBtr0082631	CG5538-RA	3R	+	12441653:12447653
FBtr0078996	mRpL28-RA	2L	+	4967976:4973976,4974158:4974277
FBtr0076095	Sgs7-RA	3L	+	11503861:11509861
FBtr0343008	CG33143-RD	2R	+	22608328:22614328,22614722:22619805
FBtr0085250	mino-RC	3R	+	27923619:27929619,27929897:27929981
FBtr0078354	Est-Q-RA	3L	+	21495421:21501421,21501723:21502166
FBtr0081327	sNPF-RB	2L	+	20021915:20027915,20028330:20054077
FBtr0071497	BTBD9-RA	X	+	10762537:10768537,10769294:10769348
FBtr0340053	RhoGAP1A-RD	X	+	121449:127449,127596:128921
FBtr0335462	CG9886-RB	2L	+	2414830:2420830
FBtr0306934	CG43340-RE	2R	+	7631471:7637471,7637534:7638053
FBtr0332533	Hs3st-B-RB	X	+	19242639:19248639,19249324:19249739
FBtr0321281	CG7632-RB	3L	+	21298697:21304697
FBtr0304970	CG43084-RA	3L	+	15644852:15650852
FBtr0344735	GABPI-RD	2L	+	3024539:3030539,3030576:3030776
FBtr0072070	apt-RA	2R	+	23575090:23581090,23581469:23596892
FBtr0082142	CG8526-RA	3R	+	9795280:9801280,9801577:9801629
FBtr0086278	CkIIbeta2-RA	2R	+	20283545:20289545
FBtr0085063	ms(3)K81-RA	3R	+	26869852:26875852
FBtr0330324	CG43740-RC	X	+	10327652:10333652,10333752:10335806
FBtr0088226	RpS15Ab-RA	2R	+	10815676:10821676
FBtr0077499	slp1-RA	2L	+	3819675:3825675
FBtr0112965	AP-1gamma-RF	X	+	9103550:9109550,9109988:9110822
FBtr0334296	slo-RX	3R	+	24656491:24662491,24662564:24664364
FBtr0331958	slim-RC	2R	+	18434965:18440965,18442314:18443655
FBtr0307064	Oscillin-RG	2L	+	5541290:5547290,5547757:5547808
FBtr0340271	CG30109-RB	2R	+	17664082:17670082
FBtr0346282	Ggamma30A-RJ	2L	+	9250563:9256563,9257207:9272466
FBtr0344200	CG43729-RN	2R	+	15395096:15401096,15402384:15409566
FBtr0331397	CG12768-RC	3L	+	22904833:22910833,22911152:22911834
FBtr0303152	CG12024-RC	3L	+	1851165:1857165
FBtr0082081	CG8358-RA	3R	+	9669523:9675523
FBtr0310430	l(2)35Cc-RB	2L	+	15250581:15256581
FBtr0078681	POLDIP2-RB	3R	+	5461814:5467814,5468630:5468689
FBtr0075068	CG6841-RA	3L	+	18899372:18905372,18905592:18905659
FBtr0071765	CG11269-RA	2R	+	22132895:22138895
FBtr0300033	CG4678-RE	X	+	16690131:16696131,16696218:16696497
FBtr0087370	scb-RA	2R	+	15246650:15252650,15253011:15254046
FBtr0077203	slgA-RA	X	+	21368312:21374312,21374741:21376120
FBtr0300978	Gss2-RG	X	+	17893702:17899702,17899951:17900081
FBtr0346458	TpnC25D-RC	2L	+	5211792:5217792,5218354:5218447
FBtr0081687	twr-RA	3R	+	6651882:6657882,6658098:6658168
FBtr0308814	tun-RB	2R	+	15842579:15848579,15849680:15852388
FBtr0346955	Mctp-RG	2R	+	18755758:18761758,18762222:18768275
FBtr0086566	sano-RB	2R	+	18872391:18878391,18878641:18879826
FBtr0077537	CG2818-RA	2L	+	3707360:3713360,3713737:3714092
FBtr0083329	CG17562-RA	3R	+	16609309:16615309,16615598:16615654
FBtr0071495	ras-RA	X	+	10738502:10744502,10744662:10745678
FBtr0344489	CG45084-RB	2L	+	16036047:16042047,16042528:16043075
FBtr0345194	CG13325-RC	2R	+	13117138:13123138,13123432:13123495
FBtr0299582	Tlk-RH	X	+	3714007:3720007,3720323:3721376
FBtr0308311	CG12017-RB	3L	+	3274239:3280239,3280719:3286302
FBtr0113358	s-cup-RB	2R	+	12489672:12495672,12496200:12498278
FBtr0305675	Rpi-RC	2R	+	23349183:23355183
FBtr0074713	Pfrx-RF	X	+	19489505:19495505
FBtr0306522	Hers-RG	X	+	19881353:19887353,19887414:19899012
FBtr0086339	CG10822-RA	2R	+	19945345:19951345
FBtr0079821	numb-RB	2L	+	9431469:9437469,9437960:9447018
FBtr0340240	Akap200-RF	2L	+	8409743:8415743,8415887:8426874
FBtr0071671	CG10307-RA	2R	+	21682773:21688773,21689223:21689284
FBtr0088278	psq-RD	2R	+	10577686:10583686,10584124:10610550
FBtr0332463	sha-RC	2R	+	11319788:11325788,11326257:11329203
FBtr0112675	CG34408-RB	X	+	10214110:10220110,10220741:10221363
FBtr0076794	lqf-RB	3L	+	7522780:7528780,7529187:7533355
FBtr0307165	dtn-RC	X	+	6219647:6225647,6226221:6226440
FBtr0290123	CG12607-RC	3L	+	4440573:4446573
FBtr0080287	Ada1-2-RA	2L	+	11986902:11992902
FBtr0307300	Tsp26A-RC	2L	+	5994228:6000228,6000600:6000664
FBtr0075219	CG18265-RA	3L	+	17433401:17439401
FBtr0304593	run-RB	X	+	20688439:20694439
FBtr0078348	Aef1-RA	3L	+	21427428:21433428,21433702:21435025
FBtr0070218	AMPKalpha-RC	X	+	1369536:1375536,1375756:1375870
FBtr0073386	v-RA	X	+	10917972:10923972,10924054:10924127
FBtr0331242	Lar-RI	2L	+	19580623:19586623,19587087:19600858
FBtr0079198	stai-RA	2L	+	6103667:6109667,6110225:6113030
FBtr0310023	CG13689-RB	2L	+	596813:602813
FBtr0336674	CG34417-RS	X	+	6534771:6540771,6541328:6543093
FBtr0076349	vnc-RB	3L	+	9966312:9972312
FBtr0340654	sif-RN	3L	+	5651913:5657913,5658291:5658343
FBtr0343913	CG44956-RA	3R	+	12335674:12341674
FBtr0082585	CG5196-RB	3R	+	12402754:12408754,12409440:12410275
FBtr0077524	Thor-RA	2L	+	3472434:3478434
FBtr0339702	Neto-RA	X	+	13439903:13445903,13446278:13453282
FBtr0085375	Vha100-1-RB	3R	+	29125193:29131193,29131272:29131686
FBtr0079796	Ggamma30A-RB	2L	+	9250563:9256563,9256697:9272466
FBtr0112516	CG34317-RA	3R	+	30050859:30056859
FBtr0070994	CG4557-RA	X	+	6838341:6844341,6845175:6845243
FBtr0079759	CG18088-RA	2L	+	8961535:8967535,8968010:8968079
FBtr0071820	Rtf1-RA	2R	+	22369090:22375090,22375273:22375384
FBtr0084889	jigr1-RC	3R	+	25633793:25639793,25639954:25646682
FBtr0332859	mGluR-RC	4	+	930819:936819,936930:938332
FBtr0445727	CG43645-RB	2L	+	17479757:17485757,17485852:17485962
FBtr0335252	CG12992-RC	X	+	17582865:17588865,17588931:17588988
FBtr0077443	FIG4-RA	2L	+	4459174:4465174,4465319:4465380
FBtr0330103	ZnT63C-RF	3L	+	3297708:3303708,3303853:3304602
FBtr0331677	CG8677-RB	2L	+	21215312:21221312,21221787:21222436
FBtr0343869	Mpp6-RB	2L	+	21150845:21156845
FBtr0075311	l(3)73Ah-RA	3L	+	16582475:16588475,16588958:16589020
FBtr0077001	Tnpo-RB	3L	+	6187480:6193480,6193623:6194048
FBtr0333316	dnc-RT	X	+	3170440:3176440,3176686:3189534
FBtr0302505	Su(var)2-10-RJ	2R	+	9110618:9116618,9116852:9117178
FBtr0302721	CG6996-RB	3L	+	20201534:20207534
FBtr0073033	CG32278-RA	3L	+	3163286:3169286,3169365:3170945
FBtr0332828	CG43897-RK	3L	+	9807847:9813847,9813923:9820280
FBtr0299566	CG14710-RB	3R	+	11614090:11620090,11620345:11620403
FBtr0083335	nonA-l-RA	3R	+	16634205:16640205
FBtr0344661	CG30275-RN	2R	+	22701794:22707794,22708093:22708152
FBtr0081236	CG10026-RA	2L	+	19448256:19454256,19454564:19454731
FBtr0302155	CG34002-RB	3L	+	17852474:17858474,17858621:17859410
FBtr0113317	lectin-33A-RB	2L	+	10996072:11002072
FBtr0305082	Cirl-RH	2R	+	8608722:8614722,8615250:8615407
FBtr0344555	SK-RR	X	+	5359225:5365225,5365914:5376048
FBtr0343560	CG44838-RF	3L	+	9457318:9463318,9464707:9470268
FBtr0305704	nw-RD	2R	+	17496677:17502677,17502961:17505636
FBtr0335517	koi-RF	2R	+	6805788:6811788,6812084:6812781
FBtr0087131	CG15701-RA	2R	+	16224198:16230198,16230344:16230778
FBtr0077874	Or22b-RA	2L	+	1516697:1522697,1522831:1522891
FBtr0078432	Rpb8-RA	3L	+	21722932:21728932
FBtr0114541	St1-RB	2R	+	23675623:23681623,23682039:23682103
FBtr0075126	geko-RB	3L	+	18133402:18139402,18140021:18143502
FBtr0305968	l(2)k05819-RC	2L	+	4388196:4394196,4394490:4394545
FBtr0344217	trv-RI	3R	+	28020615:28026615,28026871:28030499
FBtr0334609	Nrx-1-RE	3R	+	22463478:22469478,22471391:22471519
FBtr0347428	CG46193-RA	Y	+	3257180:3263180
FBtr0307900	Tomosyn-RJ	X	+	12625605:12631605,12631814:12633913
FBtr0333280	CG43931-RA	3L	+	20891557:20897557
FBtr0088783	Nup50-RA	2R	+	8117036:8123036,8123364:8123420
FBtr0334855	CG44085-RG	2L	+	13255008:13261008,13261178:13261501
FBtr0112497	CG34301-RA	3R	+	8767435:8773435
FBtr0333626	Dab-RI	3L	+	16707660:16713660,16714321:16715441
FBtr0071453	PPP4R2r-RC	X	+	10472838:10478838,10478970:10479490
FBtr0302271	Ccdc56-RA	3L	+	11702979:11708979
FBtr0340312	PIG-Q-RC	X	+	16353143:16359143,16359987:16360050
FBtr0339962	cg-RM	2R	+	14167693:14173693,14174573:14176406
FBtr0091824	His2A:CG33820-RA	2L	+	21457055:21463055
FBtr0301787	skap-RD	3R	+	8932724:8938724,8938752:8938814
FBtr0345137	CG14989-RF	3L	+	4083131:4089131,4089215:4090039
FBtr0346200	CG45546-RA	3R	+	29363338:29369338
FBtr0301087	CG4415-RB	2L	+	1031246:1037246
FBtr0081841	DppIII-RC	3R	+	8338400:8344400,8344484:8344809
FBtr0301670	Bili-RB	3R	+	25125306:25131306,25131460:25132341
FBtr0335465	CG13085-RB	2L	+	19418050:19424050
FBtr0083813	CG4662-RA	3R	+	19841311:19847311,19847636:19850012
FBtr0077825	Kebab-RA	2L	+	2039494:2045494,2045642:2045700
FBtr0340351	rad-RJ	X	+	12982615:12988615,12989240:13031715
FBtr0075258	CG32170-RA	3L	+	16871309:16877309
FBtr0070873	Nep1-RA	X	+	6087869:6093869,6094158:6096052
FBtr0077951	CG4415-RA	2L	+	1031246:1037246
FBtr0308615	pan-RQ	4	+	63326:69326,69982:72321
FBtr0112962	CG1440-RC	X	+	8432708:8438708,8439759:8439819
FBtr0081248	CG10137-RA	2L	+	19520686:19526686,19526812:19528778
FBtr0346110	CG6432-RB	3R	+	24330922:24336922,24337071:24337847
FBtr0088570	Su(var)2-10-RI	2R	+	9110122:9116122,9116452:9117178
FBtr0340355	rad-RN	X	+	13028735:13034735,13035209:13046904
FBtr0086285	CG8929-RA	2R	+	20321270:20327270,20328135:20328327
FBtr0075384	CG4842-RA	3L	+	16362389:16368389,16368550:16368608
FBtr0082232	sle-RA	3R	+	10327397:10333397,10333584:10333651
FBtr0075261	CG13028-RA	3L	+	16917252:16923252
FBtr0114371	CG3552-RD	3L	+	9450318:9456318,9456617:9457978
FBtr0077311	CG15461-RA	X	+	20480180:20486180
FBtr0074889	Papss-RE	3L	+	19842165:19848165,19848399:19858378
FBtr0343530	CG12680-RC	X	+	4991441:4997441
FBtr0339425	eIF3j-RB	2R	+	9963064:9969064,9969236:9969461
FBtr0329943	Liprin-alpha-RE	2L	+	6717903:6723903,6724085:6724827
FBtr0077777	oaf-RA	2L	+	2486955:2492955,2493297:2495374
FBtr0086706	CG5323-RA	2R	+	18609060:18615060,18615248:18615308
FBtr0308600	Doa-RZ	3R	+	28906887:28912887,28913168:28914940
FBtr0113012	Wdr62-RE	2L	+	1878622:1884622,1885319:1909669
FBtr0076759	nmo-RG	3L	+	7973046:7979046,7979174:7980400
FBtr0079444	muc-RB	2L	+	7420866:7426866,7427362:7428047
FBtr0340406	Tomosyn-RK	X	+	12625605:12631605,12631814:12635732
FBtr0079884	CG4709-RA	2L	+	9948454:9954454,9954535:9954596
FBtr0072627	Aplip1-RB	3L	+	1190317:1196317,1196656:1196937
FBtr0071094	RpS14a-RB	X	+	7927742:7933742,7933775:7934009
FBtr0088405	egr-RA	2R	+	10072366:10078366,10079183:10081507
FBtr0306596	Srpk79D-RK	3L	+	22267985:22273985,22275439:22278823
FBtr0075751	Tsp68C-RA	3L	+	13837656:13843656
FBtr0331341	Os-C-RD	3R	+	7972959:7978959,7979065:7979117
FBtr0342737	CG32813-RN	X	+	1378525:1384525,1384626:1385904
FBtr0299696	Mlp60A-RE	2R	+	24069012:24075012,24075070:24075199
FBtr0079950	CG4908-RB	2L	+	10216657:10222657
FBtr0081910	CG8136-RC	3R	+	8715371:8721371
FBtr0076707	Sbp2-RA	3L	+	8298157:8304157,8304687:8304748
FBtr0073561	CkIIbeta-RD	X	+	11786879:11792879,11792915:11793443
FBtr0332528	muc-RE	2L	+	7421002:7427002,7427362:7428047
FBtr0342598	CG34164-RC	2L	+	12051778:12057778
FBtr0080398	CG6180-RA	2L	+	12701661:12707661
FBtr0346166	ric8a-RB	X	+	9250168:9256168
FBtr0331532	CG14109-RB	3L	+	13434910:13440910,13440981:13441215
FBtr0070042	CkIIalpha-RA	3L	+	23093640:23099640,23099724:23100245
FBtr0087440	ND-B15-RA	2R	+	14750516:14756516
FBtr0085473	CIA30-RA	3R	+	29730965:29736965
FBtr0308086	CG1674-RK	4	+	225426:231426,231601:231935
FBtr0342603	Mt2-RD	2L	+	12090550:12096550
FBtr0070041	ND-MLRQ-RB	3L	+	23333326:23339326,23339370:23339430
FBtr0076852	CG8563-RA	3L	+	7385077:7391077,7391520:7393593
FBtr0332689	CG42570-RB	3L	+	15711819:15717819,15718048:15718098
FBtr0077090	lin-28-RA	3L	+	5648681:5654681,5655047:5656319
FBtr0076205	Mocs1-RC	3L	+	11064526:11070526,11070986:11071051
FBtr0085560	CG7943-RA	3R	+	30040892:30046892,30047644:30047707
FBtr0332186	CG18088-RB	2L	+	8961535:8967535,8968010:8968079
FBtr0301649	wa-cup-RB	3R	+	7414765:7420765,7421147:7421201
FBtr0344218	trv-RJ	3R	+	28041571:28047571,28047722:28049319
FBtr0334294	slo-RV	3R	+	24656491:24662491,24662564:24664364
FBtr0077209	slgA-RG	X	+	21369422:21375422,21375494:21376120
FBtr0331606	CG10801-RB	X	+	3454592:3460592,3461196:3461247
FBtr0088073	Tret1-1-RA	2R	+	11659768:11665768,11665818:11668422
FBtr0113338	cpx-RM	3R	+	4275838:4281838,4282004:4282674
FBtr0302951	gro-RF	3R	+	26036641:26042641,26042813:26042995
FBtr0074677	Vav-RA	X	+	19255820:19261820,19262594:19263133
FBtr0074110	Gbeta13F-RE	X	+	15854115:15860115,15860251:15860745
FBtr0072843	SCOT-RB	3L	+	1957143:1963143,1963492:1965075
FBtr0085706	cindr-RB	3R	+	30816473:30822473,30822575:30824278
FBtr0344856	sick-RN	2L	+	19820474:19826474,19828879:19845377
FBtr0077049	ssp6-RA	3L	+	6070722:6076722,6077346:6078919
FBtr0085564	CG7950-RB	3R	+	30050859:30056859
FBtr0452146	Rab3-GEF-RJ	X	+	15083682:15089682,15089962:15093238
FBtr0075846	flr-RB	3L	+	13407006:13413006,13413074:13413317
FBtr0345535	CG5532-RB	2R	+	23746754:23752754
FBtr0309239	Usp2-RG	X	+	22449803:22455803,22455864:22457427
FBtr0333832	Rbp-RI	3R	+	15368635:15374635,15375678:15381163
FBtr0088393	CG12128-RA	2R	+	10020839:10026839
FBtr0082475	sad-RA	3R	+	11871235:11877235,11877586:11878062
FBtr0304638	CG43056-RA	2L	+	4431787:4437787,4437847:4437906
FBtr0072695	robl62A-RA	3L	+	1471619:1477619
FBtr0330151	CG4603-RB	3L	+	5128220:5134220
FBtr0304963	Cam-RC	2R	+	12253398:12259398,12259459:12260040
FBtr0333235	Edem2-RB	2L	+	13186201:13192201,13192640:13192713
FBtr0301008	CG32221-RB	3L	+	19828670:19834670,19835291:19835354
FBtr0339991	Shroom-RH	2R	+	14302142:14308142,14308294:14315034
FBtr0334662	Fancm-RB	3R	+	21476325:21482325,21482462:21482519
FBtr0343689	NimC2-RC	2L	+	13974126:13980126,13980275:13980338
FBtr0332632	CG17493-RD	2L	+	22544240:22550240
FBtr0345098	Svil-RP	3L	+	2450607:2456607,2456917:2459591
FBtr0310611	CG11378-RB	X	+	1164828:1170828,1171172:1171270
FBtr0310304	Sec16-RF	X	+	12590676:12596676,12596738:12597346
FBtr0100593	Adh-RH	2L	+	14610267:14616267,14616438:14616503
FBtr0300319	Sfp87B-RA	3R	+	12267126:12273126
FBtr0303568	CG6431-RC	2L	+	10718203:10724203,10724347:10724417
FBtr0329987	tadr-RC	2L	+	21069405:21075405,21075716:21077359
FBtr0071438	ATPsyndelta-RA	X	+	10206970:10212970,10213075:10213281
FBtr0302527	CG33346-RB	3R	+	28663233:28669233,28669285:28669343
FBtr0080463	CG16825-RA	2L	+	13299920:13305920
FBtr0078251	Pex14-RA	3L	+	20772799:20778799,20779044:20779103
FBtr0070579	Mnt-RA	X	+	3683363:3689363,3689483:3692953
FBtr0305319	CG5348-RC	2R	+	16760804:16766804,16767180:16767237
FBtr0070318	CG11596-RC	X	+	1921683:1927683,1927920:1928334
FBtr0345127	NFAT-RH	X	+	13636175:13642175,13642199:13645178
FBtr0305662	pug-RE	3R	+	10691155:10697155,10697269:10699751
FBtr0345377	CG34459-RC	2R	+	16818664:16824664,16824940:16825578
FBtr0329988	tadr-RD	2L	+	21069405:21075405,21075716:21077359
FBtr0079603	CG14275-RB	2L	+	8323048:8329048,8329175:8329648
FBtr0070388	Cyp4ae1-RA	X	+	2173007:2179007,2179263:2179317
FBtr0086214	GNBP-like3-RA	2R	+	20520311:20526311
FBtr0071811	CG5819-RA	2R	+	22287434:22293434,22293752:22293925
FBtr0076343	CalpB-RA	3L	+	9882762:9888762,9890225:9890291
FBtr0331989	CG43795-RA	2R	+	23438137:23444137,23444384:23456183
FBtr0335222	CG11686-RB	3R	+	13254356:13260356,13260487:13261605
FBtr0339130	CG18284-RC	2L	+	10637971:10643971,10644151:10644345
FBtr0072754	ABCB7-RA	3L	+	1612414:1618414,1618618:1620428
FBtr0070864	CG6067-RA	X	+	5949629:5955629,5955875:5957053
FBtr0071830	ppk12-RA	2R	+	22421479:22427479,22427631:22427690
FBtr0088922	CG2065-RA	2R	+	7657786:7663786,7663935:7664033
FBtr0073348	LeuRS-m-RA	3L	+	4819853:4825853,4826043:4826095
FBtr0082233	CG12592-RA	3R	+	10332342:10338342,10338416:10338476
FBtr0073044	eIF1-RA	3L	+	3217341:3223341,3223527:3223770
FBtr0344974	CkIIalpha-RE	3L	+	23091072:23097072,23097475:23097560
FBtr0100431	Acsl-RI	2R	+	8670293:8676293,8676335:8676472
FBtr0113198	godzilla-RD	3R	+	6376914:6382914,6382969:6383049
FBtr0303531	Eip71CD-RE	3L	+	15505563:15511563,15511633:15512172
FBtr0074741	MKP-4-RB	X	+	19617114:19623114,19623355:19623417
FBtr0085191	Mtl-RC	3R	+	27630412:27636412,27636576:27637838
FBtr0091472	CG33521-RA	4	+	1179768:1185768,1185967:1186473
FBtr0332225	CG12620-RB	2L	+	17081641:17087641
FBtr0273354	Sp1-RD	X	+	9723648:9729648,9730678:9753001
FBtr0080023	KdelR-RC	2L	+	10420887:10426887
FBtr0073451	CG1738-RA	X	+	11343049:11349049
FBtr0330155	Tl-RD	3R	+	26793041:26799041,26799481:26806357
FBtr0344912	MED14-RC	3L	+	587246:593246,593504:593566
FBtr0082264	pug-RB	3R	+	10690534:10696534,10696803:10699751
FBtr0070972	nonC-RA	X	+	6818496:6824496,6824987:6825056
FBtr0073570	SelG-RA	X	+	11881284:11887284,11887416:11887483
FBtr0340309	Lrp4-RD	X	+	15905367:15911367,15911655:15911908
FBtr0084776	vig2-RC	3R	+	25117445:25123445
FBtr0343411	RpS28b-RB	X	+	9548623:9554623
FBtr0100143	CG13175-RA	2R	+	12176639:12182639,12183578:12183639
FBtr0334714	Syp-RL	3R	+	20776983:20782983,20783581:20791745
FBtr0088139	E(Pc)-RA	2R	+	11446189:11452189,11452384:11453393
FBtr0304738	CG34299-RB	3R	+	30243583:30249583
FBtr0078067	CG2794-RA	2L	+	558163:564163
FBtr0078437	eg-RB	3L	+	21802703:21808703,21808805:21814779
FBtr0070489	CG12498-RA	X	+	2803881:2809881
FBtr0300048	CG34180-RB	2L	+	6054510:6060510
FBtr0091522	CG33552-RA	2L	+	16676503:16682503
FBtr0077653	CG17260-RA	2L	+	3031411:3037411
FBtr0075607	Tollo-RA	3L	+	15229619:15235619
FBtr0347209	CG10395-RD	2R	+	5344740:5350740
FBtr0088930	CanB2-RA	2R	+	7780010:7786010,7786269:7786500
FBtr0086684	CG5174-RJ	2R	+	18415413:18421413,18421554:18424127
FBtr0072736	pns-RB	3L	+	1531426:1537426,1537990:1538045
FBtr0071774	ari-2-RA	2R	+	22206835:22212835,22213520:22214882
FBtr0343197	CG13541-RB	2R	+	23278227:23284227
FBtr0339581	CG44314-RC	2R	+	12046944:12052944
FBtr0332440	ppk21-RB	3R	+	29658779:29664779,29664997:29665057
FBtr0330623	E(Pc)-RE	2R	+	11446043:11452043,11452384:11453393
FBtr0300592	AANATL6-RB	2R	+	19281983:19287983
FBtr0113421	Adi1-RB	3L	+	10657376:10663376,10663569:10663650
FBtr0081238	CG10026-RC	2L	+	19449678:19455678,19455858:19456409
FBtr0333359	CG13917-RC	3L	+	1570699:1576699,1577132:1588753
FBtr0113469	form3-RB	3L	+	7088818:7094818,7095401:7111064
FBtr0070706	ctp-RA	X	+	4682203:4688203,4688318:4691637
FBtr0321312	CG31792-RC	2L	+	18991448:18997448,18997580:18997951
FBtr0343222	CG11929-RB	2L	+	4676677:4682677,4682922:4682980
FBtr0473369	CG17841-RB	X	+	10362052:10368052,10368760:10381659
FBtr0071095	RpS14a-RA	X	+	7927742:7933742
FBtr0085844	faf-RC	3R	+	31771020:31777020,31777183:31778172
FBtr0299558	CG42258-RC	X	+	12457528:12463528,12464620:12465249
FBtr0070314	mRpL16-RA	X	+	1884256:1890256,1890396:1890478
FBtr0071755	GlcT-RA	2R	+	22069988:22075988
FBtr0114566	Naa60-RC	3L	+	9720895:9726895,9727570:9727787
FBtr0339162	Lnk-RF	3R	+	25882542:25888542,25888697:25889655
FBtr0339801	CG12523-RB	3L	+	10795190:10801190
FBtr0301321	CG32301-RC	3L	+	2238478:2244478,2244611:2244666
FBtr0074904	CG7668-RA	3L	+	19996736:20002736,20002993:20003303
FBtr0310523	RYa-RC	2R	+	3641346:3647346
FBtr0076094	CG33500-RA	3L	+	11502637:11508637
FBtr0332404	Msp300-RK	2L	+	5094877:5100877,5101045:5102669
FBtr0305073	CG7546-RE	3L	+	7504986:7510986,7511443:7511511
FBtr0342985	Gp150-RE	2R	+	22312252:22318252,22318628:22325175
FBtr0086504	hppy-RA	2R	+	19172738:19178738,19178873:19179499
FBtr0088836	CG1882-RD	2R	+	7806504:7812504
FBtr0344710	Caper-RJ	2L	+	7026721:7032721,7032836:7032904
FBtr0070645	CG15570-RA	X	+	4212170:4218170,4219016:4219081
FBtr0112576	Glut4EF-RA	3R	+	9868681:9874681,9876224:9930364
FBtr0077707	CG31689-RA	2L	+	2724104:2730104,2730470:2736174
FBtr0333001	Acsl-RJ	2R	+	8669570:8675570,8675709:8676472
FBtr0302693	ps-RO	3R	+	9411940:9417940,9418001:9419807
FBtr0333506	Glut1-RU	3L	+	908074:914074,914219:950947
FBtr0343727	beat-Ic-RC	2L	+	15994520:16000520,16001255:16013953
FBtr0082567	CG10013-RA	3R	+	12317521:12323521
FBtr0074893	Rpn1-RA	3L	+	19909051:19915051
FBtr0343536	CG15764-RB	X	+	5863095:5869095
FBtr0335000	CG1161-RC	3R	+	5349092:5355092,5355254:5355327
FBtr0332705	NaPi-III-RB	3L	+	11123402:11129402,11129881:11129953
FBtr0079991	CG4995-RC	2L	+	10317486:10323486,10323508:10323671
FBtr0346695	CG40813-RB	X	+	22137102:22143102
FBtr0305586	Fs(2)Ket-RD	2L	+	20728911:20734911,20735091:20735253
FBtr0332076	Syx13-RB	3L	+	13038638:13044638,13044850:13044918
FBtr0321311	CG31792-RB	2L	+	18991448:18997448,18997580:18997951
FBtr0111147	mRpS5-RC	3L	+	24531236:24537236,24537314:24537398
FBtr0304898	CG43111-RA	2R	+	19546071:19552071
FBtr0071527	RIC-3-RD	2R	+	21011784:21017784,21017953:21019159
FBtr0076690	Uxs-RA	3L	+	8174923:8180923,8181684:8181751
FBtr0300532	Pka-R1-RR	3L	+	20814331:20820331,20820727:20832846
FBtr0078643	CG1213-RA	3R	+	5837880:5843880,5843980:5844531
FBtr0333958	RhoGEF3-RH	3L	+	286692:292692,293186:298959
FBtr0078211	CG13250-RA	3L	+	20527709:20533709,20533793:20534198
FBtr0301586	SNF4Agamma-RP	3R	+	21182866:21188866,21188966:21200760
FBtr0076165	CG7600-RA	3L	+	11204786:11210786
